replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
556	6	0.08108108108108109	0.08108108108108109
556	7	0.08108108108108109	0.08108108108108109
556	8	0.05405405405405406	0.05405405405405406
556	9	0.02702702702702703	0.02702702702702703
556	10	0.02702702702702703	0.02702702702702703
557	1	1.0	5.1891891891891895
557	2	0.32432432432432434	0.5405405405405406
557	3	0.1891891891891892	0.2972972972972973
557	4	0.10810810810810811	0.16216216216216217
557	5	0.10810810810810811	0.13513513513513514
557	6	0.05405405405405406	0.05405405405405406
557	7	0.05405405405405406	0.05405405405405406
557	8	0.02702702702702703	0.02702702702702703
557	9	0.0	0.0
557	10	0.0	0.0
558	1	1.0	4.945945945945946
558	2	0.6216216216216216	1.1081081081081081
558	3	0.40540540540540543	0.5135135135135135
558	4	0.24324324324324326	0.24324324324324326
558	5	0.21621621621621623	0.21621621621621623
558	6	0.16216216216216217	0.16216216216216217
558	7	0.16216216216216217	0.16216216216216217
558	8	0.08108108108108109	0.08108108108108109
558	9	0.02702702702702703	0.02702702702702703
558	10	0.02702702702702703	0.02702702702702703
559	1	1.0	5.405405405405405
559	2	0.6486486486486487	1.054054054054054
559	3	0.40540540540540543	0.5675675675675675
559	4	0.21621621621621623	0.2702702702702703
559	5	0.13513513513513514	0.1891891891891892
559	6	0.13513513513513514	0.16216216216216217
559	7	0.08108108108108109	0.08108108108108109
559	8	0.05405405405405406	0.05405405405405406
559	9	0.05405405405405406	0.05405405405405406
559	10	0.02702702702702703	0.02702702702702703
560	1	1.0	4.297297297297297
560	2	0.5135135135135135	0.8378378378378378
560	3	0.2702702702702703	0.40540540540540543
560	4	0.16216216216216217	0.21621621621621623
560	5	0.10810810810810811	0.10810810810810811
560	6	0.08108108108108109	0.08108108108108109
560	7	0.02702702702702703	0.02702702702702703
560	8	0.02702702702702703	0.02702702702702703
560	9	0.02702702702702703	0.02702702702702703
560	10	0.02702702702702703	0.02702702702702703
561	1	1.0	6.027027027027027
561	2	0.6216216216216216	1.2162162162162162
561	3	0.3783783783783784	0.4864864864864865
561	4	0.2972972972972973	0.2972972972972973
561	5	0.1891891891891892	0.1891891891891892
561	6	0.16216216216216217	0.16216216216216217
561	7	0.13513513513513514	0.13513513513513514
561	8	0.13513513513513514	0.13513513513513514
561	9	0.08108108108108109	0.08108108108108109
561	10	0.08108108108108109	0.08108108108108109
562	1	1.0	5.864864864864865
562	2	0.4594594594594595	1.0810810810810811
562	3	0.21621621621621623	0.3783783783783784
562	4	0.13513513513513514	0.24324324324324326
562	5	0.13513513513513514	0.16216216216216217
562	6	0.13513513513513514	0.13513513513513514
562	7	0.13513513513513514	0.13513513513513514
562	8	0.10810810810810811	0.10810810810810811
562	9	0.05405405405405406	0.05405405405405406
562	10	0.05405405405405406	0.05405405405405406
563	1	1.0	4.1891891891891895
563	2	0.4594594594594595	0.7567567567567568
563	3	0.32432432432432434	0.43243243243243246
563	4	0.1891891891891892	0.21621621621621623
563	5	0.10810810810810811	0.13513513513513514
563	6	0.08108108108108109	0.08108108108108109
563	7	0.08108108108108109	0.08108108108108109
563	8	0.05405405405405406	0.05405405405405406
563	9	0.05405405405405406	0.05405405405405406
563	10	0.0	0.0
564	1	1.0	5.486486486486487
564	2	0.43243243243243246	0.6486486486486487
564	3	0.16216216216216217	0.21621621621621623
564	4	0.16216216216216217	0.1891891891891892
564	5	0.02702702702702703	0.05405405405405406
564	6	0.0	0.0
564	7	0.0	0.0
564	8	0.0	0.0
564	9	0.0	0.0
564	10	0.0	0.0
565	1	1.0	4.891891891891892
565	2	0.4864864864864865	0.7027027027027027
565	3	0.21621621621621623	0.2702702702702703
565	4	0.1891891891891892	0.24324324324324326
565	5	0.16216216216216217	0.21621621621621623
565	6	0.16216216216216217	0.21621621621621623
565	7	0.13513513513513514	0.16216216216216217
565	8	0.10810810810810811	0.13513513513513514
565	9	0.08108108108108109	0.08108108108108109
565	10	0.08108108108108109	0.08108108108108109
566	1	1.0	5.594594594594595
566	2	0.7567567567567568	1.0810810810810811
566	3	0.4864864864864865	0.5405405405405406
566	4	0.2702702702702703	0.2972972972972973
566	5	0.1891891891891892	0.21621621621621623
566	6	0.16216216216216217	0.16216216216216217
566	7	0.13513513513513514	0.13513513513513514
566	8	0.08108108108108109	0.08108108108108109
566	9	0.05405405405405406	0.05405405405405406
566	10	0.05405405405405406	0.05405405405405406
567	1	1.0	4.8108108108108105
567	2	0.4864864864864865	0.7297297297297297
567	3	0.2972972972972973	0.43243243243243246
567	4	0.16216216216216217	0.1891891891891892
567	5	0.10810810810810811	0.13513513513513514
567	6	0.08108108108108109	0.10810810810810811
567	7	0.05405405405405406	0.08108108108108109
567	8	0.05405405405405406	0.05405405405405406
567	9	0.02702702702702703	0.02702702702702703
567	10	0.02702702702702703	0.02702702702702703
568	1	1.0	5.675675675675675
568	2	0.5675675675675675	0.6486486486486487
568	3	0.2972972972972973	0.32432432432432434
568	4	0.21621621621621623	0.21621621621621623
568	5	0.1891891891891892	0.1891891891891892
568	6	0.16216216216216217	0.16216216216216217
568	7	0.10810810810810811	0.10810810810810811
568	8	0.08108108108108109	0.08108108108108109
568	9	0.08108108108108109	0.08108108108108109
568	10	0.05405405405405406	0.05405405405405406
569	1	1.0	5.108108108108108
569	2	0.5675675675675675	0.9459459459459459
569	3	0.32432432432432434	0.4594594594594595
569	4	0.1891891891891892	0.21621621621621623
569	5	0.13513513513513514	0.16216216216216217
569	6	0.10810810810810811	0.13513513513513514
569	7	0.08108108108108109	0.08108108108108109
569	8	0.05405405405405406	0.05405405405405406
569	9	0.05405405405405406	0.05405405405405406
569	10	0.02702702702702703	0.02702702702702703
570	1	1.0	4.378378378378378
570	2	0.35135135135135137	0.6486486486486487
570	3	0.1891891891891892	0.2972972972972973
570	4	0.13513513513513514	0.1891891891891892
570	5	0.05405405405405406	0.05405405405405406
570	6	0.02702702702702703	0.02702702702702703
570	7	0.02702702702702703	0.02702702702702703
570	8	0.02702702702702703	0.02702702702702703
570	9	0.02702702702702703	0.02702702702702703
570	10	0.02702702702702703	0.02702702702702703
571	1	1.0	5.945945945945946
571	2	0.7027027027027027	1.1081081081081081
571	3	0.43243243243243246	0.4594594594594595
571	4	0.21621621621621623	0.21621621621621623
571	5	0.16216216216216217	0.16216216216216217
571	6	0.13513513513513514	0.13513513513513514
571	7	0.10810810810810811	0.10810810810810811
571	8	0.05405405405405406	0.05405405405405406
571	9	0.05405405405405406	0.05405405405405406
571	10	0.05405405405405406	0.05405405405405406
572	1	1.0	4.621621621621622
572	2	0.4594594594594595	0.6486486486486487
572	3	0.24324324324324326	0.2972972972972973
572	4	0.08108108108108109	0.10810810810810811
572	5	0.05405405405405406	0.05405405405405406
572	6	0.0	0.0
572	7	0.0	0.0
572	8	0.0	0.0
572	9	0.0	0.0
572	10	0.0	0.0
573	1	1.0	5.54054054054054
573	2	0.6216216216216216	0.9459459459459459
573	3	0.2972972972972973	0.40540540540540543
573	4	0.21621621621621623	0.2972972972972973
573	5	0.13513513513513514	0.13513513513513514
573	6	0.08108108108108109	0.08108108108108109
573	7	0.08108108108108109	0.08108108108108109
573	8	0.08108108108108109	0.08108108108108109
573	9	0.05405405405405406	0.05405405405405406
573	10	0.05405405405405406	0.05405405405405406
574	1	1.0	5.297297297297297
574	2	0.6216216216216216	1.0810810810810811
