replicate	comparison	metric	estimate
21	same_identifier_different_label	any_shared_marker	0.4596774193548387
21	different_identifier_matched_control	any_shared_marker	0.016129032258064516
21	same_label_same_identifier	marker_jaccard	0.09464828922032187
21	same_label_no_accepted_identifier	marker_jaccard	0.10308327465101784
21	same_identifier_different_label	marker_jaccard	0.09094898486501901
21	different_identifier_matched_control	marker_jaccard	0.0020293063461943915
22	same_label_same_identifier	any_shared_marker	0.5201612903225806
22	same_label_no_accepted_identifier	any_shared_marker	0.5685483870967742
22	same_identifier_different_label	any_shared_marker	0.4637096774193548
22	different_identifier_matched_control	any_shared_marker	0.016129032258064516
22	same_label_same_identifier	marker_jaccard	0.10165386249055605
22	same_label_no_accepted_identifier	marker_jaccard	0.13647913161532546
22	same_identifier_different_label	marker_jaccard	0.07833359845931002
22	different_identifier_matched_control	marker_jaccard	0.0025369623655913977
23	same_label_same_identifier	any_shared_marker	0.4879032258064516
23	same_label_no_accepted_identifier	any_shared_marker	0.5967741935483871
23	same_identifier_different_label	any_shared_marker	0.43548387096774194
23	different_identifier_matched_control	any_shared_marker	0.012096774193548387
23	same_label_same_identifier	marker_jaccard	0.10261886970556325
23	same_label_no_accepted_identifier	marker_jaccard	0.13732427514139006
23	same_identifier_different_label	marker_jaccard	0.08354454224354604
23	different_identifier_matched_control	marker_jaccard	0.0011722855525911552
24	same_label_same_identifier	any_shared_marker	0.4798387096774194
24	same_label_no_accepted_identifier	any_shared_marker	0.5362903225806451
24	same_identifier_different_label	any_shared_marker	0.5403225806451613
24	different_identifier_matched_control	any_shared_marker	0.016129032258064516
24	same_label_same_identifier	marker_jaccard	0.10855664266767333
24	same_label_no_accepted_identifier	marker_jaccard	0.12143632837446235
24	same_identifier_different_label	marker_jaccard	0.10547048256666379
24	different_identifier_matched_control	marker_jaccard	0.0038018433179723508
25	same_label_same_identifier	any_shared_marker	0.5161290322580645
25	same_label_no_accepted_identifier	any_shared_marker	0.5967741935483871
25	same_identifier_different_label	any_shared_marker	0.5241935483870968
25	different_identifier_matched_control	any_shared_marker	0.012096774193548387
25	same_label_same_identifier	marker_jaccard	0.10997288900858011
25	same_label_no_accepted_identifier	marker_jaccard	0.1491518241120321
25	same_identifier_different_label	marker_jaccard	0.09718029275963336
25	different_identifier_matched_control	marker_jaccard	0.0022625448028673837
26	same_label_same_identifier	any_shared_marker	0.4798387096774194
26	same_label_no_accepted_identifier	any_shared_marker	0.5604838709677419
26	same_identifier_different_label	any_shared_marker	0.4838709677419355
26	different_identifier_matched_control	any_shared_marker	0.016129032258064516
26	same_label_same_identifier	marker_jaccard	0.12231197371530562
26	same_label_no_accepted_identifier	marker_jaccard	0.13731732902051977
26	same_identifier_different_label	marker_jaccard	0.08550909874439284
26	different_identifier_matched_control	marker_jaccard	0.0015646539840088228
27	same_label_same_identifier	any_shared_marker	0.39919354838709675
27	same_label_no_accepted_identifier	any_shared_marker	0.4959677419354839
27	same_identifier_different_label	any_shared_marker	0.43548387096774194
27	different_identifier_matched_control	any_shared_marker	0.008064516129032258
27	same_label_same_identifier	marker_jaccard	0.09417775325033391
27	same_label_no_accepted_identifier	marker_jaccard	0.11261287403901869
27	same_identifier_different_label	marker_jaccard	0.08591935947249041
27	different_identifier_matched_control	marker_jaccard	0.0014784946236559141
28	same_label_same_identifier	any_shared_marker	0.4798387096774194
28	same_label_no_accepted_identifier	any_shared_marker	0.5282258064516129
28	same_identifier_different_label	any_shared_marker	0.43951612903225806
28	different_identifier_matched_control	any_shared_marker	0.020161290322580645
28	same_label_same_identifier	marker_jaccard	0.11790024147482082
28	same_label_no_accepted_identifier	marker_jaccard	0.12798358274651458
28	same_identifier_different_label	marker_jaccard	0.08857007457280228
28	different_identifier_matched_control	marker_jaccard	0.0036066308243727597
29	same_label_same_identifier	any_shared_marker	0.5
29	same_label_no_accepted_identifier	any_shared_marker	0.5483870967741935
29	same_identifier_different_label	any_shared_marker	0.4274193548387097
29	different_identifier_matched_control	any_shared_marker	0.008064516129032258
29	same_label_same_identifier	marker_jaccard	0.12194193415886465
29	same_label_no_accepted_identifier	marker_jaccard	0.12839331778070792
29	same_identifier_different_label	marker_jaccard	0.08416867630577309
29	different_identifier_matched_control	marker_jaccard	0.0020161290322580645
30	same_label_same_identifier	any_shared_marker	0.45161290322580644
30	same_label_no_accepted_identifier	any_shared_marker	0.5080645161290323
30	same_identifier_different_label	any_shared_marker	0.4435483870967742
30	different_identifier_matched_control	any_shared_marker	0.016129032258064516
30	same_label_same_identifier	marker_jaccard	0.08805221995746189
30	same_label_no_accepted_identifier	marker_jaccard	0.10991851109819355
30	same_identifier_different_label	marker_jaccard	0.0844173299818461
30	different_identifier_matched_control	marker_jaccard	0.0025729646697388634
31	same_label_same_identifier	any_shared_marker	0.4637096774193548
31	same_label_no_accepted_identifier	any_shared_marker	0.5887096774193549
