replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
67	5	0.037037037037037035	0.07407407407407407
67	6	0.037037037037037035	0.037037037037037035
67	7	0.037037037037037035	0.037037037037037035
67	8	0.037037037037037035	0.037037037037037035
67	9	0.037037037037037035	0.037037037037037035
67	10	0.037037037037037035	0.037037037037037035
68	1	1.0	5.222222222222222
68	2	0.4074074074074074	0.5925925925925926
68	3	0.2222222222222222	0.25925925925925924
68	4	0.1111111111111111	0.1111111111111111
68	5	0.07407407407407407	0.07407407407407407
68	6	0.037037037037037035	0.037037037037037035
68	7	0.037037037037037035	0.037037037037037035
68	8	0.037037037037037035	0.037037037037037035
68	9	0.0	0.0
68	10	0.0	0.0
69	1	1.0	4.037037037037037
69	2	0.37037037037037035	0.6666666666666666
69	3	0.14814814814814814	0.2222222222222222
69	4	0.1111111111111111	0.1111111111111111
69	5	0.07407407407407407	0.07407407407407407
69	6	0.07407407407407407	0.07407407407407407
69	7	0.037037037037037035	0.037037037037037035
69	8	0.037037037037037035	0.037037037037037035
69	9	0.037037037037037035	0.037037037037037035
69	10	0.0	0.0
70	1	1.0	4.333333333333333
70	2	0.5555555555555556	0.8148148148148148
70	3	0.2222222222222222	0.2222222222222222
70	4	0.1111111111111111	0.1111111111111111
70	5	0.07407407407407407	0.07407407407407407
70	6	0.037037037037037035	0.037037037037037035
70	7	0.037037037037037035	0.037037037037037035
70	8	0.037037037037037035	0.037037037037037035
70	9	0.0	0.0
70	10	0.0	0.0
71	1	1.0	4.555555555555555
71	2	0.5185185185185185	0.7407407407407407
71	3	0.25925925925925924	0.2962962962962963
