replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
36	5	0.037037037037037035	0.037037037037037035
36	6	0.0	0.0
36	7	0.0	0.0
36	8	0.0	0.0
36	9	0.0	0.0
36	10	0.0	0.0
37	1	1.0	4.333333333333333
37	2	0.6296296296296297	0.8888888888888888
37	3	0.2962962962962963	0.37037037037037035
37	4	0.18518518518518517	0.2222222222222222
37	5	0.07407407407407407	0.1111111111111111
37	6	0.037037037037037035	0.07407407407407407
37	7	0.037037037037037035	0.037037037037037035
37	8	0.0	0.0
37	9	0.0	0.0
37	10	0.0	0.0
38	1	1.0	4.555555555555555
38	2	0.6296296296296297	1.0
38	3	0.37037037037037035	0.5925925925925926
38	4	0.2222222222222222	0.2962962962962963
38	5	0.07407407407407407	0.1111111111111111
38	6	0.037037037037037035	0.07407407407407407
38	7	0.037037037037037035	0.07407407407407407
38	8	0.037037037037037035	0.07407407407407407
38	9	0.037037037037037035	0.07407407407407407
38	10	0.037037037037037035	0.07407407407407407
39	1	1.0	4.2592592592592595
39	2	0.48148148148148145	0.8148148148148148
39	3	0.2222222222222222	0.2962962962962963
39	4	0.1111111111111111	0.1111111111111111
39	5	0.07407407407407407	0.07407407407407407
39	6	0.0	0.0
39	7	0.0	0.0
39	8	0.0	0.0
39	9	0.0	0.0
39	10	0.0	0.0
40	1	1.0	4.148148148148148
40	2	0.4074074074074074	0.6666666666666666
40	3	0.2222222222222222	0.25925925925925924
40	4	0.14814814814814814	0.18518518518518517
40	5	0.037037037037037035	0.037037037037037035
40	6	0.0	0.0
40	7	0.0	0.0
40	8	0.0	0.0
40	9	0.0	0.0
40	10	0.0	0.0
41	1	1.0	4.814814814814815
41	2	0.7407407407407407	1.1481481481481481
41	3	0.37037037037037035	0.4074074074074074
41	4	0.25925925925925924	0.2962962962962963
41	5	0.18518518518518517	0.18518518518518517
41	6	0.1111111111111111	0.1111111111111111
41	7	0.07407407407407407	0.07407407407407407
41	8	0.037037037037037035	0.037037037037037035
41	9	0.037037037037037035	0.037037037037037035
41	10	0.037037037037037035	0.037037037037037035
42	1	1.0	4.333333333333333
42	2	0.5185185185185185	0.6296296296296297
42	3	0.25925925925925924	0.2962962962962963
42	4	0.1111111111111111	0.1111111111111111
42	5	0.07407407407407407	0.07407407407407407
42	6	0.07407407407407407	0.07407407407407407
42	7	0.037037037037037035	0.037037037037037035
42	8	0.037037037037037035	0.037037037037037035
42	9	0.0	0.0
42	10	0.0	0.0
43	1	1.0	3.740740740740741
43	2	0.7037037037037037	1.0740740740740742
43	3	0.37037037037037035	0.5185185185185185
43	4	0.2222222222222222	0.2222222222222222
43	5	0.07407407407407407	0.07407407407407407
43	6	0.037037037037037035	0.037037037037037035
43	7	0.037037037037037035	0.037037037037037035
43	8	0.037037037037037035	0.037037037037037035
43	9	0.037037037037037035	0.037037037037037035
43	10	0.037037037037037035	0.037037037037037035
44	1	1.0	4.666666666666667
44	2	0.5185185185185185	0.7037037037037037
44	3	0.25925925925925924	0.3333333333333333
44	4	0.07407407407407407	0.1111111111111111
44	5	0.07407407407407407	0.07407407407407407
44	6	0.07407407407407407	0.07407407407407407
44	7	0.037037037037037035	0.037037037037037035
44	8	0.0	0.0
44	9	0.0	0.0
44	10	0.0	0.0
45	1	1.0	4.0
45	2	0.5185185185185185	0.5925925925925926
45	3	0.14814814814814814	0.14814814814814814
45	4	0.07407407407407407	0.07407407407407407
45	5	0.037037037037037035	0.037037037037037035
45	6	0.037037037037037035	0.037037037037037035
45	7	0.0	0.0
45	8	0.0	0.0
45	9	0.0	0.0
45	10	0.0	0.0
46	1	1.0	4.2592592592592595
46	2	0.37037037037037035	0.5555555555555556
46	3	0.25925925925925924	0.2962962962962963
46	4	0.18518518518518517	0.18518518518518517
46	5	0.14814814814814814	0.14814814814814814
46	6	0.1111111111111111	0.1111111111111111
46	7	0.07407407407407407	0.07407407407407407
46	8	0.07407407407407407	0.07407407407407407
46	9	0.037037037037037035	0.037037037037037035
46	10	0.037037037037037035	0.037037037037037035
47	1	1.0	4.7407407407407405
47	2	0.4074074074074074	0.5555555555555556
47	3	0.1111111111111111	0.14814814814814814
47	4	0.07407407407407407	0.1111111111111111
47	5	0.07407407407407407	0.1111111111111111
47	6	0.07407407407407407	0.07407407407407407
47	7	0.07407407407407407	0.07407407407407407
47	8	0.037037037037037035	0.037037037037037035
47	9	0.0	0.0
47	10	0.0	0.0
48	1	1.0	4.148148148148148
48	2	0.3333333333333333	0.5185185185185185
48	3	0.1111111111111111	0.14814814814814814
48	4	0.037037037037037035	0.037037037037037035
48	5	0.037037037037037035	0.037037037037037035
48	6	0.037037037037037035	0.037037037037037035
48	7	0.0	0.0
48	8	0.0	0.0
48	9	0.0	0.0
48	10	0.0	0.0
49	1	1.0	4.296296296296297
49	2	0.7407407407407407	1.4074074074074074
