pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard
pair:c4fd0b9b506c2d0f5f65	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:119e6ae140fb9b9aea8b	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	5	0.0
pair:59ff71a97dd8ef0ae0ca	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:a712c3262aebe374fa42	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0171_10.1016_j.cell.2021.05.013_6d846f218b	biorxiv-hca	3	5	1	7	1	0.14285714285714285	0.3333333333333333	0.2	0.26666666666666666	0	5	0.0
pair:84af79a8df30d0426bcc	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:3ca693b7ecb5696372b8	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0196_10.1016_j.cell.2019.06.029_0759da9587	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	3	0.0
pair:f64729700041382e6700	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:8ba3f0c4057c687ec873	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0205_10.1038_s41588-020-0636-z_f39ba80540	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0	4	0.0
pair:e9e1e9c1941672028182	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:09ebbda85a4c9a86272b	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0210_10.1016_j.stem.2020.11.008_213dabcee4	biorxiv-hca	3	6	1	8	1	0.125	0.3333333333333333	0.16666666666666666	0.25	0	6	0.0
pair:e5af9d06c2722b716c1c	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:6074691147cdf183e4ac	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0239_10.1038_s41467-021-24607-6_2a0350c2e5	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	4	0.0
pair:628593cea75eff926f67	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:fc592fbc72ed88e23640	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0251_10.1038_s41588-023-01298-x_c85e8d4857	biorxiv-hca	3	11	0	14	0	0.0	0.0	0.0	0.0	0	2	0.0
pair:96661d7b1a459620f8ed	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:196fd2ba6d51437be2fa	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	biorxiv-hca	3	4	1	6	1	0.16666666666666666	0.3333333333333333	0.25	0.29166666666666663	0	7	0.0
pair:4974544bae7b49794b32	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:46afeef765c1d4be9677	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	biorxiv-hca	3	3	2	4	1	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0	5	0.0
pair:6c646a2636cffcb93c3f	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:d54955c49cd1fa4bf241	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0289_10.1172_jci.insight.93009_72829a2871	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0	4	0.0
pair:75deec9526a5eb5dde37	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:cac8a65b114188db9bae	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0300_10.1186_s13287-023-03256-0_d71fd1c1ed	biorxiv-hca	3	8	1	10	1	0.1	0.3333333333333333	0.125	0.22916666666666666	0	0	
pair:279216c209de5befb789	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:03fbddde994e8e7a3bf4	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0334_10.1681_asn.2018020125_804c4742d9	biorxiv-hca	3	6	1	8	1	0.125	0.3333333333333333	0.16666666666666666	0.25	0	2	0.0
pair:8e294656e07fdf0a3701	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:917855adc6b3162aea34	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0358_10.1126_sciadv.aba1983_17b603cdcb	biorxiv-hca	3	8	0	11	0	0.0	0.0	0.0	0.0	0	2	0.0
pair:cd59d6c2c9a21bbc3039	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:1322ac2c7588af20d51e	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0359_10.1101_759902_400af2c5fc	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	0	3	0.0
pair:fed48c815af53f113555	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:ac1dfed2a6038fb5a077	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0365_10.3389_fendo.2022.874915_81de77d539	biorxiv-hca	3	5	1	7	1	0.14285714285714285	0.3333333333333333	0.2	0.26666666666666666	0	9	0.0
pair:42cc43574e3ea30901f1	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:68142feff2bb42767d75	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0368_10.1016_j.cell.2019.08.008_98c14c4ebe	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	0	11	0.0
pair:66b4705379689f190610	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:b37043b4589055af8a90	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0370_10.1038_s41698-022-00251-1_1483c4b104	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	0	3	0.0
pair:cdf0fb1417a57f47121a	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:558f455222aaa23d7f57	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0374_10.1136_annrheumdis-2018-214865_9f6cd4034f	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0	2	0.0
pair:2cb5cd12a3e3ff7be836	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:47809b95f058104c076e	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0375_10.1016_j.jaci.2021.07.025_bdc966c89b	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	11	0.0
pair:aeecfb8177107907c5ca	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:f64023fa6680d3784c5c	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0410_10.3389_fcell.2021.820274_b0973e038f	biorxiv-hca	3	4	1	6	1	0.16666666666666666	0.3333333333333333	0.25	0.29166666666666663	0	12	0.0
pair:13e0686e3667d3704c43	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:b85f7404c96a0a207387	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0414_10.1186_s13059-020-02210-0_30c1533a3e	biorxiv-hca	3	5	1	7	1	0.14285714285714285	0.3333333333333333	0.2	0.26666666666666666	0	7	0.0
pair:0b2fe8a8506595a0c007	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:4e4cc862543bed94e083	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0418_10.1038_s42003-020-0922-4_8904851286	biorxiv-hca	3	5	1	7	1	0.14285714285714285	0.3333333333333333	0.2	0.26666666666666666	0	5	0.0
pair:19cece812926601c0642	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:3997ed403e61a1c3a9c7	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0430_10.1101_2021.07.06.451312_11ba989c20	biorxiv-hca	3	9	1	11	1	0.09090909090909091	0.3333333333333333	0.1111111111111111	0.2222222222222222	0	7	0.0
pair:a9cbe88afae2c82edbca	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:361b9687706fd24cca71	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0442_10.1038_s41591-024-03011-9_e42f5ec07c	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	4	0.0
pair:c2982d289801254afa52	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:19fe80032dd120f1bf3a	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0444_10.1126_science.abl4290_bce423dc46	biorxiv-hca	3	7	0	10	0	0.0	0.0	0.0	0.0	0	7	0.0
pair:c27e5bf5962252aabea1	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:acc8c0fe08e74c7f2762	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0451_10.1016_j.jid.2018.01.016_d2589a157e	biorxiv-hca	3	5	1	7	1	0.14285714285714285	0.3333333333333333	0.2	0.26666666666666666	0	1	0.0
pair:da9f4f19225c62188027	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:f33a89279db61c5fb8e6	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0453_10.1038_s41586-022-05060-x_14fb298894	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	7	0.0
