pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard	normalized_label_a	normalized_label_b
pair:3448bf113e8af9ed3873	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:1a3812d8db839a5b0e3f	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0293_10.1172_jci.insight.150861_5764a5bfad	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	5	0.2	t lymphocyte	t cell
pair:b60fdbd8c13ba7e3ab4f	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:221a877cd255f479703e	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0309_10.1101_721258_f9cb0ad906	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	5	0.3333333333333333	t lymphocyte	t cell
pair:82840213c05ce2675418	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:3bfc038499e5445d3a37	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0343_10.1038_s41597-019-0351-8_0cf4fb36a1	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	1	0.14285714285714285	t lymphocyte	t cell
pair:eeb327c66376baa4f391	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:76625832a7fdaf9bf6e7	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0398_10.3389_fimmu.2022.1034159_e51dfc8bb5	biorxiv-hca	3	7	0	10	0	0.0	0.0	0.0	0.0	7	4	0.2222222222222222	t lymphocyte	t cell
pair:9482bc686457334072cd	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:b574b6fa4b41476cce26	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0410_10.3389_fcell.2021.820274_b0973e038f	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	12	0.1875	t lymphocyte	t cell
pair:3cf82e8ba63408883604	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:383ba2c5b4c38bfb278b	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0418_10.1038_s42003-020-0922-4_8904851286	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	7	5	0.0	t lymphocyte	t cell
pair:3be242a5cc6db497cb7b	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:8969b9b3870e054d1f8e	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0442_10.1038_s41591-024-03011-9_e42f5ec07c	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	7	4	0.0	t lymphocyte	t cell
pair:1bb11fca4c0b13111089	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:2901af37a085f90d8769	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0460_10.1016_j.cell.2021.08.003_652ffcecb6	biorxiv-hca	3	7	0	10	0	0.0	0.0	0.0	0.0	7	2	0.125	t lymphocyte	t cell
pair:041361716f3565cbe857	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:df1bda99478353d111b6	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0475_10.1101_2021.07.19.452956_e30bf05aad	biorxiv-hca	3	9	0	12	0	0.0	0.0	0.0	0.0	7	2	0.0	t lymphocyte	t cell
pair:142b9f30675b2d02847b	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:97014a08084495f2996d	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0476_10.1126_science.abl4896_6d8fed9731	biorxiv-hca	3	9	0	12	0	0.0	0.0	0.0	0.0	7	3	0.0	t lymphocyte	t cell
pair:8417a64e2978186f9ae0	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:36d386572555ca9a23bd	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	22	0.11538461538461539	t lymphocyte	t cell
