label_a	label_b	papers
fibroblast major cell state	luminal secretory lactation cell state	1
fibroblast major cell state	luminal secretory major cell state	1
fibroblast major cell state	luminal secretory myoepithelial cell state	1
fibroblast major cell state	lymphatic endothelial cell	1
fibroblast major cell state	lymphatic immune cell state	1
fibroblast major cell state	lymphatic major cell state	1
fibroblast major cell state	lymphatic valve cell	1
fibroblast major cell state	mast cell	1
fibroblast major cell state	mature dendritic cell	1
fibroblast major cell state	naive t cell	1
fibroblast major cell state	natural killer cell	1
fibroblast major cell state	natural killer t cell	1
fibroblast major cell state	non classical monocyte	1
fibroblast major cell state	pericyte	1
fibroblast major cell state	plasmacytoid dendritic cell	1
fibroblast major cell state	t effector memory cell	1
fibroblast major cell state	t helper like cell	1
fibroblast major cell state	t regulatory cell	1
fibroblast major cell state	vascular endothelial cell	1
fibroblast major cell state	vascular smooth muscle cell	1
fibroblast major cell state	venous endothelial cell	1
fibroblast matrix cell state	fibroblast prematrix cell state	1
fibroblast matrix cell state	fibroblast sfrp4 cell state	1
fibroblast matrix cell state	gamma delta t cell	1
fibroblast matrix cell state	innate lymphoid cell	1
fibroblast matrix cell state	interferon response macrophage	1
fibroblast matrix cell state	lipid associated macrophage	1
fibroblast matrix cell state	luminal hormone responsive active cell state	1
fibroblast matrix cell state	luminal hormone responsive cell	1
fibroblast matrix cell state	luminal hormone responsive major cell state	1
fibroblast matrix cell state	luminal hormone responsive scgb cell state	1
fibroblast matrix cell state	luminal secretory basal cell state	1
fibroblast matrix cell state	luminal secretory hla cell state	1
fibroblast matrix cell state	luminal secretory kit cell state	1
fibroblast matrix cell state	luminal secretory lactation cell state	1
fibroblast matrix cell state	luminal secretory major cell state	1
fibroblast matrix cell state	luminal secretory myoepithelial cell state	1
fibroblast matrix cell state	lymphatic endothelial cell	1
fibroblast matrix cell state	lymphatic immune cell state	1
fibroblast matrix cell state	lymphatic major cell state	1
fibroblast matrix cell state	lymphatic valve cell	1
fibroblast matrix cell state	mast cell	1
fibroblast matrix cell state	mature dendritic cell	1
fibroblast matrix cell state	naive t cell	1
fibroblast matrix cell state	natural killer cell	1
fibroblast matrix cell state	natural killer t cell	1
fibroblast matrix cell state	non classical monocyte	1
fibroblast matrix cell state	pericyte	1
fibroblast matrix cell state	plasmacytoid dendritic cell	1
fibroblast matrix cell state	t effector memory cell	1
fibroblast matrix cell state	t helper like cell	1
fibroblast matrix cell state	t regulatory cell	1
fibroblast matrix cell state	vascular endothelial cell	1
fibroblast matrix cell state	vascular smooth muscle cell	1
fibroblast matrix cell state	venous endothelial cell	1
fibroblast population	fibroblast subpopulation	1
fibroblast population	minor fibroblast population	1
fibroblast population	myoepithelial cell	1
fibroblast population	myofibroblast	1
fibroblast population	papillary dermal fibroblast	1
fibroblast population	papillary fibroblast	1
fibroblast population	pericyte	1
fibroblast population	progenitor fibroblast population	1
fibroblast population	reticular dermal fibroblast	1
fibroblast population	sfrp2 high dpp4 expressing progenitor fibroblast population	1
fibroblast population	sfrp2 high prss23 positive wif1 negative fibroblast	1
fibroblast population	smooth muscle cell	1
fibroblast population	systemic sclerosis fibroblast	1
fibroblast population	systemic sclerosis myofibroblast	1
fibroblast population	systemic sclerosis sfrp2 high prss23 positive fibroblast	1
fibroblast prematrix cell state	fibroblast sfrp4 cell state	1
fibroblast prematrix cell state	gamma delta t cell	1
fibroblast prematrix cell state	innate lymphoid cell	1
fibroblast prematrix cell state	interferon response macrophage	1
fibroblast prematrix cell state	lipid associated macrophage	1
fibroblast prematrix cell state	luminal hormone responsive active cell state	1
fibroblast prematrix cell state	luminal hormone responsive cell	1
fibroblast prematrix cell state	luminal hormone responsive major cell state	1
fibroblast prematrix cell state	luminal hormone responsive scgb cell state	1
fibroblast prematrix cell state	luminal secretory basal cell state	1
fibroblast prematrix cell state	luminal secretory hla cell state	1
fibroblast prematrix cell state	luminal secretory kit cell state	1
fibroblast prematrix cell state	luminal secretory lactation cell state	1
fibroblast prematrix cell state	luminal secretory major cell state	1
fibroblast prematrix cell state	luminal secretory myoepithelial cell state	1
fibroblast prematrix cell state	lymphatic endothelial cell	1
fibroblast prematrix cell state	lymphatic immune cell state	1
fibroblast prematrix cell state	lymphatic major cell state	1
fibroblast prematrix cell state	lymphatic valve cell	1
fibroblast prematrix cell state	mast cell	1
fibroblast prematrix cell state	mature dendritic cell	1
fibroblast prematrix cell state	naive t cell	1
fibroblast prematrix cell state	natural killer cell	1
fibroblast prematrix cell state	natural killer t cell	1
fibroblast prematrix cell state	non classical monocyte	1
fibroblast prematrix cell state	pericyte	1
fibroblast prematrix cell state	plasmacytoid dendritic cell	1
fibroblast prematrix cell state	t effector memory cell	1
fibroblast prematrix cell state	t helper like cell	1
fibroblast prematrix cell state	t regulatory cell	1
fibroblast prematrix cell state	vascular endothelial cell	1
fibroblast prematrix cell state	vascular smooth muscle cell	1
fibroblast prematrix cell state	venous endothelial cell	1
fibroblast sfrp4 cell state	gamma delta t cell	1
fibroblast sfrp4 cell state	innate lymphoid cell	1
fibroblast sfrp4 cell state	interferon response macrophage	1
fibroblast sfrp4 cell state	lipid associated macrophage	1
fibroblast sfrp4 cell state	luminal hormone responsive active cell state	1
fibroblast sfrp4 cell state	luminal hormone responsive cell	1
fibroblast sfrp4 cell state	luminal hormone responsive major cell state	1
fibroblast sfrp4 cell state	luminal hormone responsive scgb cell state	1
fibroblast sfrp4 cell state	luminal secretory basal cell state	1
fibroblast sfrp4 cell state	luminal secretory hla cell state	1
fibroblast sfrp4 cell state	luminal secretory kit cell state	1
fibroblast sfrp4 cell state	luminal secretory lactation cell state	1
fibroblast sfrp4 cell state	luminal secretory major cell state	1
fibroblast sfrp4 cell state	luminal secretory myoepithelial cell state	1
fibroblast sfrp4 cell state	lymphatic endothelial cell	1
fibroblast sfrp4 cell state	lymphatic immune cell state	1
fibroblast sfrp4 cell state	lymphatic major cell state	1
fibroblast sfrp4 cell state	lymphatic valve cell	1
fibroblast sfrp4 cell state	mast cell	1
fibroblast sfrp4 cell state	mature dendritic cell	1
fibroblast sfrp4 cell state	naive t cell	1
fibroblast sfrp4 cell state	natural killer cell	1
fibroblast sfrp4 cell state	natural killer t cell	1
fibroblast sfrp4 cell state	non classical monocyte	1
fibroblast sfrp4 cell state	pericyte	1
fibroblast sfrp4 cell state	plasmacytoid dendritic cell	1
fibroblast sfrp4 cell state	t effector memory cell	1
fibroblast sfrp4 cell state	t helper like cell	1
fibroblast sfrp4 cell state	t regulatory cell	1
fibroblast sfrp4 cell state	vascular endothelial cell	1
fibroblast sfrp4 cell state	vascular smooth muscle cell	1
fibroblast sfrp4 cell state	venous endothelial cell	1
fibroblast star	macrophage	1
fibroblast star	mesothelial cell	1
fibroblast star	monocyte	1
fibroblast star	myofibroblast	1
fibroblast star	plasmacytoid dendritic cell	1
fibroblast star	t lymphocyte	1
fibroblast star	t natural killer cell	1
fibroblast star	tumor associated macrophage	1
fibroblast state 1	fibroblast state 2	1
fibroblast state 1	myeloid cell	1
fibroblast state 1	pericyte	1
fibroblast state 1	resident myeloid cell	1
fibroblast state 1	spp1 expressing macrophage	1
fibroblast state 1	spp1 positive macrophage	1
fibroblast state 1	vascular smooth muscle cell	1
fibroblast state 1	ventricular cardiomyocyte state 2	1
fibroblast state 1	ventricular cardiomyocyte state 3	1
fibroblast state 2	myeloid cell	1
fibroblast state 2	pericyte	1
fibroblast state 2	resident myeloid cell	1
fibroblast state 2	spp1 expressing macrophage	1
fibroblast state 2	spp1 positive macrophage	1
fibroblast state 2	vascular smooth muscle cell	1
fibroblast state 2	ventricular cardiomyocyte state 2	1
fibroblast state 2	ventricular cardiomyocyte state 3	1
fibroblast state f10	fibroblast state f11	1
fibroblast state f10	fibroblast state f12	1
fibroblast state f10	fibroblast state f13	1
fibroblast state f10	fibroblast state f3	1
fibroblast state f10	fibroblast state f4	1
fibroblast state f10	fibroblast state f5	1
fibroblast state f10	fibroblast state f6	1
fibroblast state f10	fibroblast state f7	1
fibroblast state f10	fibroblast state f8	1
fibroblast state f10	fibroblast state f9	1
fibroblast state f10	macrophage	1
fibroblast state f10	myeloid cell	1
fibroblast state f10	myofibroblast	1
fibroblast state f10	type 2 conventional dendritic cell	1
fibroblast state f11	fibroblast state f12	1
fibroblast state f11	fibroblast state f13	1
fibroblast state f11	fibroblast state f3	1
fibroblast state f11	fibroblast state f4	1
fibroblast state f11	fibroblast state f5	1
fibroblast state f11	fibroblast state f6	1
fibroblast state f11	fibroblast state f7	1
fibroblast state f11	fibroblast state f8	1
fibroblast state f11	fibroblast state f9	1
fibroblast state f11	macrophage	1
fibroblast state f11	myeloid cell	1
fibroblast state f11	myofibroblast	1
fibroblast state f11	type 2 conventional dendritic cell	1
fibroblast state f12	fibroblast state f13	1
fibroblast state f12	fibroblast state f3	1
fibroblast state f12	fibroblast state f4	1
fibroblast state f12	fibroblast state f5	1
fibroblast state f12	fibroblast state f6	1
fibroblast state f12	fibroblast state f7	1
fibroblast state f12	fibroblast state f8	1
fibroblast state f12	fibroblast state f9	1
fibroblast state f12	macrophage	1
fibroblast state f12	myeloid cell	1
fibroblast state f12	myofibroblast	1
fibroblast state f12	type 2 conventional dendritic cell	1
fibroblast state f13	fibroblast state f3	1
fibroblast state f13	fibroblast state f4	1
fibroblast state f13	fibroblast state f5	1
fibroblast state f13	fibroblast state f6	1
fibroblast state f13	fibroblast state f7	1
fibroblast state f13	fibroblast state f8	1
fibroblast state f13	fibroblast state f9	1
fibroblast state f13	macrophage	1
fibroblast state f13	myeloid cell	1
fibroblast state f13	myofibroblast	1
fibroblast state f13	type 2 conventional dendritic cell	1
fibroblast state f3	fibroblast state f4	1
fibroblast state f3	fibroblast state f5	1
fibroblast state f3	fibroblast state f6	1
fibroblast state f3	fibroblast state f7	1
fibroblast state f3	fibroblast state f8	1
fibroblast state f3	fibroblast state f9	1
fibroblast state f3	macrophage	1
fibroblast state f3	myeloid cell	1
fibroblast state f3	myofibroblast	1
fibroblast state f3	type 2 conventional dendritic cell	1
fibroblast state f4	fibroblast state f5	1
fibroblast state f4	fibroblast state f6	1
fibroblast state f4	fibroblast state f7	1
fibroblast state f4	fibroblast state f8	1
fibroblast state f4	fibroblast state f9	1
fibroblast state f4	macrophage	1
fibroblast state f4	myeloid cell	1
fibroblast state f4	myofibroblast	1
fibroblast state f4	type 2 conventional dendritic cell	1
fibroblast state f5	fibroblast state f6	1
fibroblast state f5	fibroblast state f7	1
fibroblast state f5	fibroblast state f8	1
fibroblast state f5	fibroblast state f9	1
fibroblast state f5	macrophage	1
fibroblast state f5	myeloid cell	1
fibroblast state f5	myofibroblast	1
fibroblast state f5	type 2 conventional dendritic cell	1
fibroblast state f6	fibroblast state f7	1
fibroblast state f6	fibroblast state f8	1
fibroblast state f6	fibroblast state f9	1
fibroblast state f6	macrophage	1
fibroblast state f6	myeloid cell	1
fibroblast state f6	myofibroblast	1
fibroblast state f6	type 2 conventional dendritic cell	1
fibroblast state f7	fibroblast state f8	1
fibroblast state f7	fibroblast state f9	1
fibroblast state f7	macrophage	1
fibroblast state f7	myeloid cell	1
fibroblast state f7	myofibroblast	1
fibroblast state f7	type 2 conventional dendritic cell	1
fibroblast state f8	fibroblast state f9	1
fibroblast state f8	macrophage	1
fibroblast state f8	myeloid cell	1
fibroblast state f8	myofibroblast	1
fibroblast state f8	type 2 conventional dendritic cell	1
fibroblast state f9	macrophage	1
fibroblast state f9	myeloid cell	1
fibroblast state f9	myofibroblast	1
fibroblast state f9	type 2 conventional dendritic cell	1
fibroblast subcluster 3	fibroblast subcluster 4	1
fibroblast subcluster 3	lymphatic endothelial cell	1
fibroblast subcluster 3	lymphocyte	1
fibroblast subcluster 3	macrophage subcluster 1	1
fibroblast subcluster 3	macrophage subcluster 2	1
fibroblast subcluster 3	mast cell	1
fibroblast subcluster 3	mature cardiomyocyte	1
fibroblast subcluster 3	neuronal cell	1
fibroblast subcluster 3	pericyte	1
fibroblast subcluster 3	vascular smooth muscle cell	1
fibroblast subcluster 4	lymphatic endothelial cell	1
fibroblast subcluster 4	lymphocyte	1
fibroblast subcluster 4	macrophage subcluster 1	1
fibroblast subcluster 4	macrophage subcluster 2	1
fibroblast subcluster 4	mast cell	1
fibroblast subcluster 4	mature cardiomyocyte	1
fibroblast subcluster 4	neuronal cell	1
fibroblast subcluster 4	pericyte	1
fibroblast subcluster 4	vascular smooth muscle cell	1
fibroblast subcluster 9	macrophage	1
fibroblast subcluster 9	mast cell	1
fibroblast subcluster 9	monocyte	1
fibroblast subcluster 9	natural killer cell	1
fibroblast subcluster 9	neural cell	1
fibroblast subcluster 9	neutrophil	1
fibroblast subcluster 9	smooth muscle cell	1
fibroblast subcluster 9	smooth muscle cell subcluster 5	1
fibroblast subcluster 9	t cell	1
fibroblast subpopulation	minor fibroblast population	1
fibroblast subpopulation	myoepithelial cell	1
fibroblast subpopulation	myofibroblast	1
fibroblast subpopulation	papillary dermal fibroblast	1
fibroblast subpopulation	papillary fibroblast	1
fibroblast subpopulation	pericyte	1
fibroblast subpopulation	progenitor fibroblast population	1
fibroblast subpopulation	reticular dermal fibroblast	1
fibroblast subpopulation	sfrp2 high dpp4 expressing progenitor fibroblast population	1
fibroblast subpopulation	sfrp2 high prss23 positive wif1 negative fibroblast	1
fibroblast subpopulation	smooth muscle cell	1
fibroblast subpopulation	systemic sclerosis fibroblast	1
fibroblast subpopulation	systemic sclerosis myofibroblast	1
fibroblast subpopulation	systemic sclerosis sfrp2 high prss23 positive fibroblast	1
fibroblast subpopulation fb3	fibroblast subpopulation fb4	1
fibroblast subpopulation fb3	fibroblast subpopulation fb5	1
fibroblast subpopulation fb3	fibroblast subpopulation fb6	1
fibroblast subpopulation fb3	fibroblast subpopulation fb7	1
fibroblast subpopulation fb3	fibroblast subpopulation fb8	1
fibroblast subpopulation fb3	fibroblast subpopulation fb9	1
fibroblast subpopulation fb3	inflammatory macrophage	1
fibroblast subpopulation fb3	inflammatory macrophage mac4	1
fibroblast subpopulation fb3	intermediate monocyte	1
fibroblast subpopulation fb3	lymphatic endothelial cell	1
fibroblast subpopulation fb3	macrophage mac5	1
fibroblast subpopulation fb3	nonclassical monocyte	1
fibroblast subpopulation fb3	resident macrophage	1
fibroblast subpopulation fb3	resident macrophage mac3	1
fibroblast subpopulation fb3	tissue resident macrophage	1
fibroblast subpopulation fb3	trem2 positive macrophage	1
fibroblast subpopulation fb3	venous endothelial cell	1
fibroblast subpopulation fb4	fibroblast subpopulation fb5	1
fibroblast subpopulation fb4	fibroblast subpopulation fb6	1
fibroblast subpopulation fb4	fibroblast subpopulation fb7	1
fibroblast subpopulation fb4	fibroblast subpopulation fb8	1
fibroblast subpopulation fb4	fibroblast subpopulation fb9	1
fibroblast subpopulation fb4	inflammatory macrophage	1
fibroblast subpopulation fb4	inflammatory macrophage mac4	1
fibroblast subpopulation fb4	intermediate monocyte	1
fibroblast subpopulation fb4	lymphatic endothelial cell	1
fibroblast subpopulation fb4	macrophage mac5	1
fibroblast subpopulation fb4	nonclassical monocyte	1
fibroblast subpopulation fb4	resident macrophage	1
fibroblast subpopulation fb4	resident macrophage mac3	1
fibroblast subpopulation fb4	tissue resident macrophage	1
fibroblast subpopulation fb4	trem2 positive macrophage	1
fibroblast subpopulation fb4	venous endothelial cell	1
fibroblast subpopulation fb5	fibroblast subpopulation fb6	1
fibroblast subpopulation fb5	fibroblast subpopulation fb7	1
fibroblast subpopulation fb5	fibroblast subpopulation fb8	1
fibroblast subpopulation fb5	fibroblast subpopulation fb9	1
fibroblast subpopulation fb5	inflammatory macrophage	1
fibroblast subpopulation fb5	inflammatory macrophage mac4	1
fibroblast subpopulation fb5	intermediate monocyte	1
fibroblast subpopulation fb5	lymphatic endothelial cell	1
fibroblast subpopulation fb5	macrophage mac5	1
fibroblast subpopulation fb5	nonclassical monocyte	1
fibroblast subpopulation fb5	resident macrophage	1
fibroblast subpopulation fb5	resident macrophage mac3	1
fibroblast subpopulation fb5	tissue resident macrophage	1
fibroblast subpopulation fb5	trem2 positive macrophage	1
fibroblast subpopulation fb5	venous endothelial cell	1
fibroblast subpopulation fb6	fibroblast subpopulation fb7	1
fibroblast subpopulation fb6	fibroblast subpopulation fb8	1
fibroblast subpopulation fb6	fibroblast subpopulation fb9	1
fibroblast subpopulation fb6	inflammatory macrophage	1
fibroblast subpopulation fb6	inflammatory macrophage mac4	1
fibroblast subpopulation fb6	intermediate monocyte	1
fibroblast subpopulation fb6	lymphatic endothelial cell	1
fibroblast subpopulation fb6	macrophage mac5	1
fibroblast subpopulation fb6	nonclassical monocyte	1
fibroblast subpopulation fb6	resident macrophage	1
fibroblast subpopulation fb6	resident macrophage mac3	1
fibroblast subpopulation fb6	tissue resident macrophage	1
fibroblast subpopulation fb6	trem2 positive macrophage	1
fibroblast subpopulation fb6	venous endothelial cell	1
fibroblast subpopulation fb7	fibroblast subpopulation fb8	1
fibroblast subpopulation fb7	fibroblast subpopulation fb9	1
fibroblast subpopulation fb7	inflammatory macrophage	1
fibroblast subpopulation fb7	inflammatory macrophage mac4	1
fibroblast subpopulation fb7	intermediate monocyte	1
fibroblast subpopulation fb7	lymphatic endothelial cell	1
fibroblast subpopulation fb7	macrophage mac5	1
fibroblast subpopulation fb7	nonclassical monocyte	1
fibroblast subpopulation fb7	resident macrophage	1
fibroblast subpopulation fb7	resident macrophage mac3	1
fibroblast subpopulation fb7	tissue resident macrophage	1
fibroblast subpopulation fb7	trem2 positive macrophage	1
fibroblast subpopulation fb7	venous endothelial cell	1
fibroblast subpopulation fb8	fibroblast subpopulation fb9	1
fibroblast subpopulation fb8	inflammatory macrophage	1
fibroblast subpopulation fb8	inflammatory macrophage mac4	1
fibroblast subpopulation fb8	intermediate monocyte	1
fibroblast subpopulation fb8	lymphatic endothelial cell	1
fibroblast subpopulation fb8	macrophage mac5	1
fibroblast subpopulation fb8	nonclassical monocyte	1
fibroblast subpopulation fb8	resident macrophage	1
fibroblast subpopulation fb8	resident macrophage mac3	1
fibroblast subpopulation fb8	tissue resident macrophage	1
fibroblast subpopulation fb8	trem2 positive macrophage	1
fibroblast subpopulation fb8	venous endothelial cell	1
fibroblast subpopulation fb9	inflammatory macrophage	1
fibroblast subpopulation fb9	inflammatory macrophage mac4	1
fibroblast subpopulation fb9	intermediate monocyte	1
fibroblast subpopulation fb9	lymphatic endothelial cell	1
fibroblast subpopulation fb9	macrophage mac5	1
fibroblast subpopulation fb9	nonclassical monocyte	1
fibroblast subpopulation fb9	resident macrophage	1
fibroblast subpopulation fb9	resident macrophage mac3	1
fibroblast subpopulation fb9	tissue resident macrophage	1
fibroblast subpopulation fb9	trem2 positive macrophage	1
fibroblast subpopulation fb9	venous endothelial cell	1
fibroblast subtype 1	fibroblast subtype 3	1
fibroblast subtype 1	fibroblast subtype 7	1
fibroblast subtype 1	hormone sensing 1 cell	1
fibroblast subtype 1	hormone sensing alpha subtype	1
fibroblast subtype 1	hormone sensing beta cell	1
fibroblast subtype 1	hormone sensing cell	1
fibroblast subtype 1	immune cell	1
fibroblast subtype 1	lymphatic endothelial cell	1
fibroblast subtype 1	macrophage subtype 1	1
fibroblast subtype 1	macrophage subtype 2	1
fibroblast subtype 1	macrophage subtype 4	1
fibroblast subtype 1	macrophage subtype 5	1
fibroblast subtype 1	mammary epithelial cell	1
fibroblast subtype 1	monocyte derived macrophage	1
fibroblast subtype 1	pericyte	1
fibroblast subtype 1	pericyte smooth muscle cell	1
fibroblast subtype 1	vascular endothelial cell	1
fibroblast subtype 3	fibroblast subtype 7	1
fibroblast subtype 3	macrophage subtype 1	1
fibroblast subtype 3	macrophage subtype 2	1
fibroblast subtype 3	macrophage subtype 4	1
fibroblast subtype 3	macrophage subtype 5	1
fibroblast subtype 3	monocyte derived macrophage	1
fibroblast subtype 7	macrophage subtype 1	1
fibroblast subtype 7	macrophage subtype 2	1
fibroblast subtype 7	macrophage subtype 4	1
fibroblast subtype 7	macrophage subtype 5	1
fibroblast subtype 7	monocyte derived macrophage	1
fibroblast subtype fb1	fibroblast subtype fb2	1
fibroblast subtype fb1	fibroblast subtype fb4	1
fibroblast subtype fb1	intercalated cell type a	1
fibroblast subtype fb1	interstitial fibroblast	1
fibroblast subtype fb1	loop of henle cell	1
fibroblast subtype fb1	migratory fibroblast subtype fb1	1
fibroblast subtype fb1	myofibroblast	1
fibroblast subtype fb1	pericyte	1
fibroblast subtype fb1	peritubular capillary endothelial cell subpopulation ptc2	1
fibroblast subtype fb1	proximal tubular cell	1
fibroblast subtype fb1	tubular progenitor cell	1
fibroblast subtype fb1	tubular progenitor cell subtype pg1	1
fibroblast subtype fb1	tubular progenitor cell subtype pg2	1
fibroblast subtype fb2	fibroblast subtype fb4	1
fibroblast subtype fb2	intercalated cell type a	1
fibroblast subtype fb2	interstitial fibroblast	1
fibroblast subtype fb2	loop of henle cell	1
fibroblast subtype fb2	migratory fibroblast subtype fb1	1
fibroblast subtype fb2	myofibroblast	1
fibroblast subtype fb2	pericyte	1
fibroblast subtype fb2	peritubular capillary endothelial cell subpopulation ptc2	1
fibroblast subtype fb2	proximal tubular cell	1
fibroblast subtype fb2	tubular progenitor cell	1
fibroblast subtype fb2	tubular progenitor cell subtype pg1	1
fibroblast subtype fb2	tubular progenitor cell subtype pg2	1
fibroblast subtype fb4	intercalated cell type a	1
fibroblast subtype fb4	interstitial fibroblast	1
fibroblast subtype fb4	loop of henle cell	1
fibroblast subtype fb4	migratory fibroblast subtype fb1	1
fibroblast subtype fb4	myofibroblast	1
fibroblast subtype fb4	pericyte	1
fibroblast subtype fb4	peritubular capillary endothelial cell subpopulation ptc2	1
fibroblast subtype fb4	proximal tubular cell	1
fibroblast subtype fb4	tubular progenitor cell	1
fibroblast subtype fb4	tubular progenitor cell subtype pg1	1
fibroblast subtype fb4	tubular progenitor cell subtype pg2	1
fibroblast subtype fib1 and fib2	gprc5a positive cyst cell	1
fibroblast subtype fib1 and fib2	myofibroblast	1
fibroblast subtype fib1 and fib2	proximal tubular cell subtype pt 3	1
fibroblast subtype fib1 and fib2	proximal tubular cell subtype pt 3 4	1
fibroblast subtype fib1 and fib2	tubular cell	1
fibroblast subtype fib1 and fib2	uroepithelium	1
fibroblast type 1	fibroblast type 2	1
fibroblast type 1	gng4 positive cd8αα t i cell	1
fibroblast type 1	intermediate medullary cortical thymic epithelial cell	1
fibroblast type 1	medullary thymic epithelial cell type i	1
fibroblast type 1	medullary thymic epithelial cell type ii	1
fibroblast type 1	medullary thymic epithelial cell type iii	1
fibroblast type 1	myoid thymic epithelial cell	1
fibroblast type 1	natural killer t like cell	1
fibroblast type 1	neuroendocrine like thymic epithelial cell	1
fibroblast type 1	plasmacytoid dendritic cell	1
fibroblast type 1	t agonist cell	1
fibroblast type 1	t helper 17 like cell	1
fibroblast type 2	gng4 positive cd8αα t i cell	1
fibroblast type 2	intermediate medullary cortical thymic epithelial cell	1
fibroblast type 2	medullary thymic epithelial cell type i	1
fibroblast type 2	medullary thymic epithelial cell type ii	1
fibroblast type 2	medullary thymic epithelial cell type iii	1
fibroblast type 2	myoid thymic epithelial cell	1
fibroblast type 2	natural killer t like cell	1
fibroblast type 2	neuroendocrine like thymic epithelial cell	1
fibroblast type 2	plasmacytoid dendritic cell	1
fibroblast type 2	t agonist cell	1
fibroblast type 2	t helper 17 like cell	1
fibroblast with elastic fiber differentiation	macrophage	1
fibroblast with elastic fiber differentiation	naive like t cell	1
fibroblast with elastic fiber differentiation	pre dysfunctional cd8 t cell	1
fibroblast with elastic fiber differentiation	terminally dysfunctional cd8 t cell	1
fibroblast with elastic fiber differentiation	terminally exhausted t cell	1
fibroblastic corneal endothelial cell	immune cell type i	1
fibroblastic corneal endothelial cell	immune cell type ii	1
fibroblastic corneal endothelial cell	limbal fibroblast	1
fibroblastic corneal endothelial cell	limbal neural crest derived progenitor cell	1
fibroblastic corneal endothelial cell	limbal progenitor cell	1
fibroblastic corneal endothelial cell	limbal stromal keratocyte	1
fibroblastic corneal endothelial cell	limbal superficial epithelial cell	1
fibroblastic corneal endothelial cell	limbal suprabasal cell	1
fibroblastic corneal endothelial cell	lymphatic vessel cell	1
fibroblastic corneal endothelial cell	melanocyte	1
fibroblastic corneal endothelial cell	red blood cell	1
fibroblastic corneal endothelial cell	superficial conjunctival epithelial cell	1
fibroblastic reticular cell	follicular dendritic cell	1
fibroblastic reticular cell	gut associated lymphoid tissue fibroblast	1
fibroblastic reticular cell	gut associated lymphoid tissue fibroblastic reticular cell	1
fibroblastic reticular cell	interfollicular and medullary fibroblast	1
fibroblastic reticular cell	lamina propria fibroblast	1
fibroblastic reticular cell	lymphoid tissue fibroblastic reticular cell	1
fibroblastic reticular cell	marginal reticular cell	1
fibroblastic reticular cell	subepithelial dome fibroblastic reticular cell	1
fibroblastic reticular cell	subepithelial fibroblast	1
fibroblastic reticular cell	t b border reticular cell	1
fibroblastic reticular cell	t cell zone reticular cell	1
fibromyocyte	goblet cell	1
fibromyocyte	igsf21 positive dendritic cell	1
fibromyocyte	inflammatory macrophage mac1	1
fibromyocyte	inflammatory1 nonimmune cell	1
fibromyocyte	inflammatory2 nonimmune cell	1
fibromyocyte	inflammatory3 nonimmune cell	1
fibromyocyte	interferon response macrophage	1
fibromyocyte	ionocyte	1
fibromyocyte	m1 like macrophage	1
fibromyocyte	m1 like macrophage 1	1
fibromyocyte	m1 like macrophage 2	1
fibromyocyte	m1 like macrophage 3	1
fibromyocyte	m2 like macrophage	1
fibromyocyte	m2 like macrophage 1	1
fibromyocyte	m2 like macrophage 2	1
fibromyocyte	mac4 macrophage	1
fibromyocyte	mesenchymal stem cell 1	1
fibromyocyte	mesenchymal stem cell 2	1
fibromyocyte	modulated vascular smooth muscle cell	1
fibromyocyte	myofibroblast	1
fibromyocyte	neuroendocrine cell	1
fibromyocyte	novel dendritic cell population	1
fibromyocyte	proliferating smooth muscle cell	1
fibromyocyte	proliferating t lymphocyte	1
fibromyocyte	proximal basal cell	1
fibromyocyte	regulatory cd4 t lymphocyte	1
fibromyocyte	remodeling macrophage	1
fibromyocyte	schwann cell	1
fibromyocyte	smooth muscle cell 1	1
fibromyocyte	smooth muscle cell 2	1
fibromyocyte	smooth muscle cell 3	1
fibromyocyte	smooth muscle cell 4	1
fibromyocyte	stressed smooth muscle cell	1
fibromyocyte	t_gimap lymphocyte	1
fibromyocyte	t_switched lymphocyte	1
fibromyocyte	tissue resident macrophage	1
fibromyocyte	trem2 positive dendritic cell	1
fibromyocyte smooth muscle cell	inflammatory smooth muscle cell	1
fibromyocyte smooth muscle cell	intermediate smooth muscle cell	1
fibromyocyte smooth muscle cell	proliferative m phase smooth muscle cell	1
fibromyocyte smooth muscle cell	proliferative m s phase smooth muscle cell	1
fibromyocyte smooth muscle cell	proliferative s phase smooth muscle cell	1
fibrotic corneal endothelial cell	fibrotic corneal endothelial cell cluster c5	1
fibrotic corneal endothelial cell	good quality corneal endothelial cell	1
fibrotic corneal endothelial cell	highly proliferative corneal endothelial cell	1
fibrotic corneal endothelial cell	keratocyte	1
fibrotic corneal endothelial cell	low quality corneal endothelial cell	1
fibrotic corneal endothelial cell	lower quality corneal endothelial cell entering senescence and endothelial to mesenchymal transition	1
fibrotic corneal endothelial cell	proliferating corneal endothelial cell	1
fibrotic corneal endothelial cell	proliferative corneal endothelial cell	1
fibrotic corneal endothelial cell	senescent corneal endothelial cell	1
fibrotic corneal endothelial cell	senescent corneal endothelial cell cluster c2	1
fibrotic corneal endothelial cell	senescent corneal endothelial cell cluster c4	1
fibrotic corneal endothelial cell	therapy grade corneal endothelial cell	1
fibrotic corneal endothelial cell cluster c5	good quality corneal endothelial cell	1
fibrotic corneal endothelial cell cluster c5	highly proliferative corneal endothelial cell	1
fibrotic corneal endothelial cell cluster c5	keratocyte	1
