"cellType"	"gene"	"logFC"	"logDOR"	"Prop.Exp.in"	"Prop.Exp.Out"	"nCells.in"	"nCells.out"
"83"	"AT1"	"WFS1"	0.902036186217827	3.69890824240803	0.558404558404558	0.0303395010388229	1053	306597
"84"	"AT1"	"PARD6B"	1.30867118496359	3.69273795288547	0.717948717948718	0.0595537464489216	1053	306597
"85"	"AT1"	"ANKRD29"	0.990252720683663	3.67979446472378	0.606837606837607	0.0374628584102258	1053	306597
"86"	"AT1"	"EHD2"	0.714264897670953	3.67774921192962	0.473884140550807	0.022263753396152	1053	306597
"87"	"AT1"	"TMEM125"	0.577855963191284	3.67066375824396	0.408357075023742	0.0172734893035483	1053	306597
"88"	"AT1"	"IRX2"	0.578169029827086	3.66312159521397	0.402659069325736	0.0170027756305509	1053	306597
"89"	"AT1"	"EFNA1"	0.816172804202555	3.65936606965566	0.519468186134853	0.0270778905207814	1053	306597
"90"	"AT1"	"TIMP3"	1.41172297078072	3.65609644187144	0.697056030389364	0.056057299973581	1053	306597
"91"	"AT1"	"CNTN6"	0.55614825204368	3.65329016113982	0.361823361823362	0.0144815507001047	1053	306597
"92"	"AT1"	"ATF7IP2"	2.351155663157	3.64315467274096	0.897435897435897	0.185699794844698	1053	306597
"93"	"AT1"	"SFTPD"	0.775512936331075	3.64106508485472	0.453941120607787	0.0213374560090281	1053	306597
"94"	"AT1"	"PLLP"	0.699669279285607	3.63399723154914	0.47008547008547	0.022893244226134	1053	306597
"95"	"AT1"	"BCAM"	0.830006938884151	3.62421045287439	0.535612535612536	0.0298372130190445	1053	306597
"96"	"AT1"	"PDZK1IP1"	0.342707197693381	3.60809325801746	0.264007597340931	0.00963805908081292	1053	306597
"97"	"AT1"	"GPRC5D-AS1"	1.30408236887897	3.60312107741322	0.660968660968661	0.0503918825037427	1053	306597
"98"	"AT1"	"ENSG00000261553"	1.25866649723862	3.5945148045472	0.706552706552707	0.0619901695058986	1053	306597
"99"	"AT1"	"SCNN1B"	0.627514043905358	3.59348004163904	0.41690408357075	0.019289164603698	1053	306597
"100"	"AT1"	"CYP2B7P"	1.21981610207508	3.57738749348524	0.672364672364672	0.0542047051993333	1053	306597
"101"	"AT1"	"CGN"	0.711979463466381	3.56963205824965	0.487179487179487	0.0260602680391524	1053	306597
"102"	"AT1"	"C5orf38"	0.332614124373933	3.56728153601382	0.259259259259259	0.00979461638567892	1053	306597
"103"	"AT1"	"ATP13A4"	1.22722153783631	3.56380265617871	0.675213675213675	0.0555811048379469	1053	306597
"104"	"AT1"	"CGNL1"	0.67194657956759	3.56270846556164	0.449192782526116	0.0226094841110644	1053	306597
"105"	"AT1"	"SPOCK2"	1.28209958759645	3.55571298708767	0.699905033238367	0.0623978708206538	1053	306597
"106"	"AT1"	"MYRF"	0.581696390766997	3.52817294594519	0.389363722697056	0.0183824368796825	1053	306597
"107"	"AT1"	"PARD3"	1.64928632749602	3.52173680840128	0.836657169990503	0.131185236646151	1053	306597
"108"	"AT1"	"ITGA3"	0.931280233881442	3.51684818589632	0.591642924976258	0.0412300185585638	1053	306597
"109"	"AT1"	"TENT5B"	0.349574429863212	3.50768234801247	0.256410256410256	0.0102381954161326	1053	306597
"110"	"AT1"	"GALNT5"	0.331504291686324	3.49110033507703	0.253561253561254	0.0102545034687228	1053	306597
"111"	"AT1"	"PMS2P7"	0.644499764663797	3.47988664471592	0.401709401709402	0.0202741709801466	1053	306597
"112"	"AT1"	"PEG10"	0.323159694086585	3.45966327239322	0.225071225071225	0.00906075401911956	1053	306597
"113"	"AT1"	"ENSG00000237813"	0.489849539487566	3.44297836294037	0.315289648622982	0.0145174284158032	1053	306597
"114"	"AT1"	"LAMB3"	0.718732380050143	3.42400348052621	0.488129154795821	0.0301340195761863	1053	306597
"115"	"AT1"	"FSTL3"	0.706026740317446	3.40989538214125	0.462488129154796	0.0276486723614386	1053	306597
"116"	"AT1"	"PLS3"	0.947126173857562	3.4067691851084	0.599240265906933	0.0472052890276161	1053	306597
"117"	"AT1"	"FMO2"	0.552810134922828	3.40224967436608	0.347578347578348	0.0174398314399684	1053	306597
"118"	"AT1"	"SHROOM3"	1.38785007023484	3.38313806266195	0.741690408357075	0.0887027596486593	1053	306597
"119"	"AT1"	"TACC2"	1.40522388390826	3.37802254148083	0.761633428300095	0.098167953372016	1053	306597
"120"	"AT1"	"ENSG00000283563"	1.59972924958102	3.37751944675331	0.823361823361823	0.137010473031373	1053	306597
"121"	"AT1"	"C1orf198"	0.664334855112663	3.36441871674996	0.459639126305793	0.0285782313590805	1053	306597
"122"	"AT1"	"SEMA5A"	0.83886690308783	3.34075714374548	0.507122507122507	0.0351503765529343	1053	306597
