"cellType"	"gene"	"log1p_FC"	"pct.copd"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"172"	"ncMonocyte"	"EIF1"	0.455287712426366	1	1	0.00632054807611777	0.0151601551680796	1
"173"	"ncMonocyte"	"CD163L1"	-0.279547314831846	0.944444444444444	0.884615384615385	0.0205443828491872	0.0354176600160467	1
"174"	"ncMonocyte"	"MB21D2"	-0.326162537585543	0.888888888888889	0.961538461538462	0.0102748384976259	0.0211240468491564	1
"175"	"ncMonocyte"	"ST6GALNAC3"	0.422220327927203	1	0.961538461538462	0.00632054807611777	0.0151601551680796	1
"176"	"ncMonocyte"	"DENND5A"	-0.289138552848062	1	1	0.0296950390582371	0.0461458118698426	1
"177"	"ncMonocyte"	"RPS23"	0.397685412202241	1	0.961538461538462	0.00423688481058717	0.0114951546910193	1
"178"	"ncMonocyte"	"PTMA"	0.472165732960638	1	0.961538461538462	0.0278742227605511	0.0441738009289004	1
"179"	"ncMonocyte"	"EEF1A1P5"	0.662265552816163	1	0.923076923076923	0.00503349890623579	0.0129154119222019	1
"180"	"ncMonocyte"	"CD55"	0.380761785889223	1	1	0.0123932839337632	0.024130452835739	1
"181"	"ncMonocyte"	"NACA"	0.473351734877521	1	0.923076923076923	0.00959647640482448	0.0202320617197255	1
"182"	"ncMonocyte"	"ENSG00000196656"	0.326041953582293	1	0.769230769230769	0.0109168622641087	0.0220334232281706	1
"183"	"ncMonocyte"	"GPX1P1"	-0.264847073815892	0.944444444444444	0.923076923076923	0.0126021583909389	0.0242518280662836	1
"184"	"ncMonocyte"	"S100A10"	0.323399196873528	1	1	0.00359098864259438	0.0104264670236732	1
"185"	"ncMonocyte"	"CFD"	0.37185845286096	1	0.923076923076923	0.00402117161609863	0.0110000645035425	1
"186"	"ncMonocyte"	"PAPSS2"	0.400656419618616	1	1	0.0215020283895178	0.0359453100855071	1
"187"	"ncMonocyte"	"MT-CO2"	-0.250197905688082	1	1	0.00683143301189584	0.0161514594781252	1
"188"	"ncMonocyte"	"MT-CO1"	-0.257343639601657	1	1	0.0115328273251236	0.0229961797868429	1
"189"	"ncMonocyte"	"MT-ATP6"	-0.292771206180885	1	1	0.0261483087637758	0.0418120299556029	1
"190"	"ncMonocyte"	"TOP1"	0.276761804576598	1	1	0.00632054807611777	0.0151601551680796	1
"191"	"ncMonocyte"	"OOEP"	0.309678083754381	1	0.923076923076923	0.0175395374783715	0.0314485079902878	1
"192"	"ncMonocyte"	"LST1"	0.628299016922647	1	0.961538461538462	0.00303391859340472	0.00921309224235745	1
"193"	"ncMonocyte"	"RPL15P3"	0.276175909741004	1	0.923076923076923	0.0212460059848207	0.0359453100855071	1
"194"	"ncMonocyte"	"MT-ND4L"	-0.280195556394755	1	1	0.00390212276704992	0.0109457850499451	1
"195"	"ncMonocyte"	"PPP1CB"	0.407031763174852	1	1	0.00390212276704992	0.0109457850499451	1
"196"	"ncMonocyte"	"RPS24P8"	0.275690298557275	1	0.807692307692308	0.0163647638247885	0.0300146893657177	1
"197"	"ncMonocyte"	"SMIM25"	0.391937053382727	1	0.884615384615385	0.00401729818305569	0.0110000645035425	1
"198"	"ncMonocyte"	"RPL41P1"	0.261459419922001	0.944444444444444	0.807692307692308	0.0278922187134145	0.0441738009289004	1
"199"	"ncMonocyte"	"ENSG00000227081"	0.452426438265534	1	0.961538461538462	0.0215020283895178	0.0359453100855071	1
"200"	"ncMonocyte"	"RPL41"	0.530470831188582	1	1	0.0245134622254809	0.0397742941011479	1
"201"	"ncMonocyte"	"LINC-PINT"	0.388851597900477	1	1	0.0107245818590546	0.0217781386217613	1
"202"	"ncMonocyte"	"ENSG00000232037"	0.277743132609152	1	0.961538461538462	0.00925433833502602	0.0197934609122639	1
"203"	"ncMonocyte"	"GPX1"	-0.410105549864298	1	0.923076923076923	0.00777577459943478	0.0177502164993994	1
"204"	"ncMonocyte"	"ENSG00000234287"	0.404053072614116	1	0.961538461538462	0.0316146950022784	0.0486719257942054	1
"205"	"ncMonocyte"	"HLA-B"	0.284146428729876	1	1	0.0296950390582371	0.0461458118698426	1
"206"	"ncMonocyte"	"NFAM1"	-0.285282457374085	1	0.961538461538462	0.00737813767418497	0.0169594692371891	1
"207"	"ncMonocyte"	"ENSG00000237214"	0.295326524700265	1	0.884615384615385	0.00723543602448845	0.0168656994655329	1
"208"	"ncMonocyte"	"MTCO1P12"	-0.334107139886106	1	1	0.00796273771357656	0.0178085552918503	1
"209"	"ncMonocyte"	"ENSG00000244716"	0.281502423469189	1	0.846153846153846	0.00318756998898587	0.0095916878759484	1
"210"	"ncMonocyte"	"MTND4P12"	-0.326369061780418	0.888888888888889	0.884615384615385	0.0255182376657339	0.0411361518349432	1
"211"	"ncMonocyte"	"NAIP"	-0.264187986731365	0.888888888888889	0.961538461538462	0.0134756690978205	0.025634749835509	1
"212"	"ncMonocyte"	"EEF1A1P13"	0.480636275744478	1	0.884615384615385	0.0240656303625432	0.0392400179803044	1
"213"	"ncMonocyte"	"ENSG00000258344"	0.279779509451973	1	0.923076923076923	0.0226247348544127	0.037443936184053	1
"214"	"ncMonocyte"	"SRGAP2"	0.38699384236913	1	1	0.00390212276704992	0.0109457850499451	1
"215"	"ncMonocyte"	"ENSG00000279483"	0.617872650247837	1	0.961538461538462	0.00330204179246427	0.00984662912887995	1
"216"	"Macrophage Alveolar"	"ANKRD28"	0.533056437668891	1	1	3.10957851822303e-06	0.000188520032213579	0.000245656702939619
"217"	"Macrophage Alveolar"	"IKZF1"	-0.254145637378793	0.944444444444444	1	4.77265904338175e-06	0.000188520032213579	0.000377040064427158
"218"	"Macrophage Alveolar"	"SFMBT2"	-0.274337517789128	0.944444444444444	1	1.40372871107446e-05	0.000252273487591957	0.00110894568174883
"219"	"Macrophage Alveolar"	"SLCO2B1"	-0.311023021424134	0.944444444444444	1	1.59666764298707e-05	0.000252273487591957	0.00126136743795979
