"cellType"	"gene"	"log1p_FC"	"pct.ipf"	"pct.copd"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"105"	"ncMonocyte"	"EPB41L3"	-0.297219366924278	0.96875	0.944444444444444	0.0129169871603536	0.0190862944608209	1
"106"	"ncMonocyte"	"GSTP1"	0.251673753967527	0.96875	1	0.00535913620305845	0.0102029708481305	1
"107"	"ncMonocyte"	"FCN1"	0.363604242933463	0.9375	1	0.00996611175032018	0.0157863210125072	1
"108"	"ncMonocyte"	"MGST2"	0.255224146326177	0.96875	1	0.0244918114987137	0.0301203644518342	1
"109"	"ncMonocyte"	"MYO9B"	-0.254528274621048	1	1	0.0355410170450749	0.0406770021671956	1
"110"	"ncMonocyte"	"LGALS1"	0.35779651114929	0.96875	1	0.00572951405323097	0.0103131252958157	1
"111"	"ncMonocyte"	"CST3"	0.275630780026176	0.96875	1	0.0185169177741443	0.024941154552929	1
"112"	"ncMonocyte"	"SMCHD1"	-0.274362424034406	0.96875	0.944444444444444	0.0223755292362391	0.028218820310671	1
"113"	"ncMonocyte"	"HSPB1"	0.267070161828164	0.9375	1	0.021788323778108	0.027654410949137	1
"114"	"ncMonocyte"	"RPL28"	0.258656127592481	0.96875	1	0.015568709349262	0.0217084820503795	1
"115"	"ncMonocyte"	"PFN1"	0.263258004900621	0.96875	1	0.0102135696101894	0.0160498951017261	1
"116"	"ncMonocyte"	"PTGES3"	0.333802469650372	0.96875	1	0.00697937747734408	0.0120166673088185	1
"117"	"ncMonocyte"	"ARHGDIB"	0.262113221708662	0.96875	1	0.0146802292569065	0.0209114057040826	1
"118"	"ncMonocyte"	"RPS12"	0.270110255345994	1	1	0.0320258382354056	0.0370825495357327	1
"119"	"ncMonocyte"	"HSPE1"	0.307194301210748	0.90625	0.888888888888889	0.0111571697528836	0.0169932277774689	1
"120"	"ncMonocyte"	"ELF1"	-0.330945861655438	0.96875	1	0.00572951405323097	0.0103131252958157	1
"121"	"ncMonocyte"	"CXCR4"	0.283941975123025	0.96875	1	0.0303805717354752	0.0355938059386041	1
"122"	"ncMonocyte"	"ARL4A"	0.301415647249437	0.9375	0.944444444444444	0.00885466399435719	0.0143786261552463	1
"123"	"ncMonocyte"	"ATP5F1E"	0.256404347479705	1	1	0.0115491325839008	0.0173236988758512	1
"124"	"ncMonocyte"	"ZNF331"	-0.382236249309584	0.90625	0.944444444444444	0.0144388937348647	0.0208678902153519	1
"125"	"ncMonocyte"	"COX4I1"	0.29566855532776	1	1	0.00794002730218727	0.0134369692806246	1
"126"	"ncMonocyte"	"CHSY1"	-0.279470260861784	0.9375	1	0.0132884436895435	0.019346410665659	1
"127"	"ncMonocyte"	"H3F3B"	0.291940443230804	1	1	0.0207374367156808	0.0264904030303536	1
"128"	"ncMonocyte"	"NOTCH2"	-0.258916700167917	0.9375	1	0.00885955753000025	0.0143786261552463	1
"129"	"ncMonocyte"	"RPLP1"	0.303202169506145	1	1	0.0146802292569065	0.0209114057040826	1
"130"	"ncMonocyte"	"RAB1A"	-0.260621475922261	0.96875	0.944444444444444	0.00676126583598445	0.0117432511888151	1
"131"	"ncMonocyte"	"RPL11"	0.278147553556161	1	1	0.0374159406455473	0.0425767600449332	1
"132"	"ncMonocyte"	"RHOB"	0.306108963959896	1	1	0.00612225585931477	0.0107274925676489	1
"133"	"ncMonocyte"	"RPL32"	0.273888568182727	1	1	0.0414132784266865	0.0465899382300223	1
"134"	"ncMonocyte"	"RPS3A"	0.337498356651512	1	1	0.0207374367156808	0.0264904030303536	1
"135"	"ncMonocyte"	"RPL10"	0.356126554947318	1	1	0.025864870424289	0.0316126194074644	1
"136"	"ncMonocyte"	"RPL7"	0.313921175563759	1	1	0.0207374367156808	0.0264904030303536	1
"137"	"ncMonocyte"	"UBC"	0.275883190241185	1	1	0.0207374367156808	0.0264904030303536	1
"138"	"ncMonocyte"	"PITPNC1"	-0.316680300460551	0.9375	1	0.0175544177201652	0.0239708600592601	1
"139"	"ncMonocyte"	"TSC22D3"	0.296965932331562	0.96875	1	0.00572951405323097	0.0103131252958157	1
"140"	"ncMonocyte"	"DGKI"	-0.33370709457947	0.96875	1	0.0288069156902279	0.0341543072255396	1
"141"	"ncMonocyte"	"B4GALT5"	-0.318447246188125	1	0.944444444444444	0.0196003372244866	0.0262220727732997	1
"142"	"ncMonocyte"	"RPS14"	0.307359390208689	1	1	0.0108635353773002	0.0168045312867612	1
"143"	"ncMonocyte"	"RPL27A"	0.298012145113765	1	1	0.0288069156902279	0.0341543072255396	1
