source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	neighborhood	relation	relation_label	marker_scope	marker_scope_label	n_markers	n_comparison_profiles	n_background_profiles	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	observed_mean_profile_recall	expected_mean_profile_recall	mean_profile_recall_lift	observed_union_recall	expected_union_recall	union_recall_lift	n_recovered_markers	n_unrecovered_markers	recovered_marker_names	unrecovered_marker_names
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 4	CLUSTER 4		same_exact_label	Same reported label	all_reported_markers	All reported markers	4	10	3345	6	3	12	9	0	0.00149476831091	0	0	0.0148336432779	0	0	4	NA	GADD45B; SERPINE1; TNFAIP3; G0S2
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 4	CLUSTER 4		same_exact_label	Same reported label	local_private_markers	Local-only markers	4	10	3345	6	3	12	9	0	0.00149476831091	0	0	0.0148336432779	0	0	4	NA	GADD45B; SERPINE1; TNFAIP3; G0S2
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 5	CLUSTER 5		same_exact_label	Same reported label	all_reported_markers	All reported markers	4	8	3345	6	3	12	9	0.03125	0.00837070254111	3.73325892857	0.25	0.0643002566051	3.88800936729	1	3	TCF4	DCN; CD74; ZEB2
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 5	CLUSTER 5		same_exact_label	Same reported label	local_private_markers	Local-only markers	4	8	3345	6	3	12	9	0.03125	0.00837070254111	3.73325892857	0.25	0.0643002566051	3.88800936729	1	3	TCF4	DCN; CD74; ZEB2
biorxiv	0a537c3c-6dba-1014-a3da-a09fc644eb0b	biorxiv:0a537c3c-6dba-1014-a3da-a09fc644eb0b	CD4+ MEMORY T CELL	CD 4 MEMORY T CELL	T cell	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	255	3350	1	0	12	12	0.00313725490196	0.000716417910448	4.37908496732	0.4	0.158211321826	2.52826406722	2	3	DUSP2; SOCS1	GIMAP4; GIMAP7; GIMAP1
biorxiv	0a537c3c-6dba-1014-a3da-a09fc644eb0b	biorxiv:0a537c3c-6dba-1014-a3da-a09fc644eb0b	CD4+ MEMORY T CELL	CD 4 MEMORY T CELL	T cell	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	5	255	3350	1	0	12	12	0.00313725490196	0.000716417910448	4.37908496732	0.4	0.158211321826	2.52826406722	2	3	DUSP2; SOCS1	GIMAP4; GIMAP7; GIMAP1
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPI-4	EPI 4		same_exact_label	Same reported label	all_reported_markers	All reported markers	4	2	3344	7	3	12	9	0	0.000822368421053	0	0	0.00164377550451	0	0	4	NA	ADIRF; PSCA; KLK6; KLK7
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPI-4	EPI 4		same_exact_label	Same reported label	local_private_markers	Local-only markers	4	2	3344	7	3	12	9	0	0.000822368421053	0	0	0.00164377550451	0	0	4	NA	ADIRF; PSCA; KLK6; KLK7
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPITHELIAL DIFFERENTIATED	EPITHELIAL DIFFERENTIATED	epithelial	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	122	3344	7	3	12	9	0.00819672131148	0.0109649122807	0.747540983607	0.666666666667	0.607650366993	1.09712213286	2	1	S100A8; S100A9	SPRR1B
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPITHELIAL DIFFERENTIATION	EPITHELIAL DIFFERENTIATION	epithelial	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	6	122	3344	7	3	12	9	0.00819672131148	0.00603070175439	1.35916542474	0.666666666667	0.366207350764	1.82046227438	4	2	S100A8; S100A7; S100A9; KRT16	SPRR1B; KRT6B
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPITHELIAL DIFFERENTIATION	EPITHELIAL DIFFERENTIATION	epithelial	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	3	122	3344	7	3	12	9	0.00819672131148	0.00109649122807	7.47540983607	0.666666666667	0.124764334535	5.34340738601	2	1	S100A7; KRT16	KRT6B
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	TUMOR CELL	TUMOR CELL		same_exact_label	Same reported label	all_reported_markers	All reported markers	6	2	3344	7	3	12	9	0	0.00538277511962	0	0	0.0107124605568	0	0	6	NA	KRT17; SFN; KRT5; KRT14; S100A2; S100A14
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	TUMOR CELL	TUMOR CELL		same_exact_label	Same reported label	local_private_markers	Local-only markers	6	2	3344	7	3	12	9	0	0.00538277511962	0	0	0.0107124605568	0	0	6	NA	KRT17; SFN; KRT5; KRT14; S100A2; S100A14
biorxiv	0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	VASCULAR IMMATURE	VASCULAR IMMATURE	endothelial	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	10	74	3348	3	2	12	10	0	0.000328554360812	0	0	0.022736715655	0	0	10	NA	ACAT1; CEBPE; IMMT; PCNA; RPL7; IDH3A; PDHB; RPL4; RPL15; TOMM5
biorxiv	0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	VASCULAR IMMATURE	VASCULAR IMMATURE	endothelial	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	10	74	3348	3	2	12	10	0	0.000328554360812	0	0	0.022736715655	0	0	10	NA	ACAT1; CEBPE; IMMT; PCNA; RPL7; IDH3A; PDHB; RPL4; RPL15; TOMM5
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	EEC	EEC		same_exact_label	Same reported label	all_reported_markers	All reported markers	4	2	3336	15	4	12	8	0	0.00217326139089	0	0	0.00433895239923	0	0	4	NA	CHGB; CHGA; PAX4; INSM1
