resource	normalized_cell_type	n_profiles	n_studies	example_reported_labels	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_gt_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes	underspecification_score
LLMarkers	B CELL	30	30	B CELL; B-CELL	435	0.14662106093140576	0.125	0.0	0.2	0.42528735632183906	0.5747126436781609	0.5563218390804597	0.19770114942528735	0.009195402298850575	0.8436781609195402	0.875
LLMarkers	PERICYTE	14	14	PERICYTE	91	0.12992206206491919	0.125	0.0	0.2	0.4065934065934066	0.5934065934065934	0.5274725274725275	0.14285714285714285	0.0	0.8021978021978022	0.875
LLMarkers	SMOOTH MUSCLE CELL	9	9	SMOOTH MUSCLE CELL	36	0.13115079365079366	0.125	0.0	0.16666666666666666	0.4722222222222222	0.5277777777777778	0.5277777777777778	0.1388888888888889	0.027777777777777776	0.6944444444444444	0.875
LLMarkers	ASTROCYTE	8	8	ASTROCYTE	28	0.13102215245072388	0.125	0.07692307692307693	0.15705128205128205	0.17857142857142858	0.8214285714285714	0.6428571428571429	0.07142857142857142	0.0	1.1785714285714286	0.875
LLMarkers	GOBLET CELL	8	8	GOBLET CELL	28	0.17198168894597465	0.125	0.057692307692307696	0.2	0.25	0.75	0.6785714285714286	0.21428571428571427	0.03571428571428571	1.1785714285714286	0.875
LLMarkers	CD 8 GZMK	3	3	CD8 GZMK; CD8+GZMK; CD8-GZMK	3	0.11574074074074074	0.125	0.0625	0.1736111111111111	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	1.0	0.875
LLMarkers	INHIBITORY NEURON	3	3	INHIBITORY NEURON	3	0.25	0.125	0.125	0.3125	0.0	1.0	1.0	0.3333333333333333	0.0	1.3333333333333333	0.875
LLMarkers	PDCS	3	3	PDCS	3	0.21203703703703702	0.125	0.11805555555555555	0.2625	0.0	1.0	1.0	0.3333333333333333	0.0	1.3333333333333333	0.875
LLMarkers	RPE	3	3	RPE	3	0.09294871794871795	0.125	0.0625	0.13942307692307693	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	1.0	0.875
LLMarkers	ALPHA CELL	6	6	ALPHA CELL	15	0.1470258166916171	0.13636363636363635	0.08712121212121213	0.18198529411764708	0.0	1.0	0.6666666666666666	0.06666666666666667	0.0	2.6	0.8636363636363636
LLMarkers	CDC 2	9	9	CDC2	36	0.1384004884004884	0.14285714285714285	0.07142857142857142	0.16666666666666666	0.16666666666666666	0.8333333333333334	0.6666666666666666	0.19444444444444445	0.0	1.0555555555555556	0.8571428571428572
LLMarkers	BASAL CELL	7	7	BASAL CELL	21	0.16447467876039307	0.14285714285714285	0.0	0.3333333333333333	0.38095238095238093	0.6190476190476191	0.6190476190476191	0.38095238095238093	0.0	1.0476190476190477	0.8571428571428572
LLMarkers	CHONDROCYTE	3	3	CHONDROCYTE	3	0.42857142857142855	0.14285714285714285	0.14285714285714285	0.5714285714285714	0.0	1.0	1.0	0.3333333333333333	0.3333333333333333	2.3333333333333335	0.8571428571428572
LLMarkers	CYTOTOXIC	3	3	CYTOTOXIC	3	0.15178571428571427	0.14285714285714285	0.10267857142857142	0.19642857142857142	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0	1.6666666666666667	0.8571428571428572
LLMarkers	TCM	3	3	TCM	3	0.20634920634920637	0.14285714285714285	0.14285714285714285	0.23809523809523808	0.0	1.0	1.0	0.3333333333333333	0.0	1.3333333333333333	0.8571428571428572
LLMarkers	B CELLS	5	5	B CELLS	10	0.17761904761904762	0.15476190476190477	0.0	0.3416666666666667	0.4	0.6	0.6	0.3	0.0	0.9	0.8452380952380952
LLMarkers	VASCULAR SMOOTH MUSCLE CELL	4	4	VASCULAR SMOOTH MUSCLE CELL	6	0.1494047619047619	0.1625	0.03125	0.2642857142857143	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.0	1.0	0.8375
LLMarkers	TE	4	4	TE	6	0.1738909238909239	0.16269841269841268	0.09027777777777778	0.24107142857142858	0.16666666666666666	0.8333333333333334	0.6666666666666666	0.3333333333333333	0.0	2.1666666666666665	0.8373015873015873
LLMarkers	OLIGODENDROCYTE	7	7	OLIGODENDROCYTE	21	0.21840513983371124	0.16666666666666666	0.14285714285714285	0.2857142857142857	0.14285714285714285	0.8571428571428571	0.8571428571428571	0.3333333333333333	0.0	1.2857142857142858	0.8333333333333334
LLMarkers	BASAL 1	3	3	BASAL 1; BASAL1	3	0.1111111111111111	0.16666666666666666	0.08333333333333333	0.16666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	0.6666666666666666	0.8333333333333334
LLMarkers	EPIBLAST	3	3	EPIBLAST	3	0.20573870573870576	0.16666666666666666	0.15476190476190477	0.23717948717948717	0.0	1.0	1.0	0.3333333333333333	0.0	2.3333333333333335	0.8333333333333334
LLMarkers	MESOTHELIAL CELL	3	3	MESOTHELIAL CELL	3	0.17777777777777778	0.16666666666666666	0.16666666666666666	0.18333333333333335	0.0	1.0	1.0	0.0	0.0	1.0	0.8333333333333334
LLMarkers	MREGDC	3	3	MREGDC	3	0.1923076923076923	0.16666666666666666	0.12179487179487179	0.25	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0	2.3333333333333335	0.8333333333333334
LLMarkers	NAIVE T CELL	3	3	NAIVE T CELL; NAÏVE T CELL	3	0.2400793650793651	0.16666666666666666	0.14583333333333331	0.2976190476190476	0.0	1.0	1.0	0.3333333333333333	0.0	1.6666666666666667	0.8333333333333334
LLMarkers	OSTEOCLAST	3	3	OSTEOCLAST	3	0.12962962962962962	0.16666666666666666	0.08333333333333333	0.19444444444444442	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	1.0	0.8333333333333334
LLMarkers	PLASMACYTOID DENDRITIC CELL	3	3	PLASMACYTOID DENDRITIC CELL	3	0.15873015873015872	0.16666666666666666	0.15476190476190477	0.16666666666666666	0.0	1.0	1.0	0.0	0.0	1.0	0.8333333333333334
LLMarkers	TREG	15	15	TREG	105	0.2004648898859425	0.18181818181818182	0.09090909090909091	0.3	0.2	0.8	0.7428571428571429	0.3523809523809524	0.0	1.8666666666666667	0.8181818181818181
LLMarkers	OPC	5	5	OPC	10	0.23724025974025972	0.19090909090909092	0.1488095238095238	0.26704545454545453	0.0	1.0	1.0	0.4	0.0	2.0	0.8090909090909091
LLMarkers	MAST CELL	15	15	MAST CELL	105	0.24698412698412703	0.2	0.0	0.5	0.3238095238095238	0.6761904761904762	0.6761904761904762	0.3238095238095238	0.0380952380952381	1.0761904761904761	0.8
LLMarkers	CDC 1	11	11	CDC1	55	0.2534920634920635	0.2	0.125	0.35416666666666663	0.21818181818181817	0.7818181818181819	0.7818181818181819	0.4727272727272727	0.01818181818181818	1.509090909090909	0.8
LLMarkers	ENTEROENDOCRINE CELL	7	7	ENTEROENDOCRINE CELL	21	0.24854497354497357	0.2	0.14285714285714285	0.3333333333333333	0.0	1.0	1.0	0.3333333333333333	0.0	1.380952380952381	0.8
LLMarkers	ENTEROCYTE	6	6	ENTEROCYTE	15	0.21182539682539683	0.2	0.1125	0.2	0.2	0.8	0.8	0.2	0.06666666666666667	1.0666666666666667	0.8
LLMarkers	ADIPOCYTE	5	5	ADIPOCYTE	10	0.2153968253968254	0.2	0.175	0.2222222222222222	0.1	0.9	0.9	0.2	0.0	1.5	0.8
LLMarkers	LYMPHATIC ENDOTHELIAL CELL	4	4	LYMPHATIC ENDOTHELIAL CELL	6	0.13333333333333333	0.2	0.05	0.2	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	0.6666666666666666	0.8
LLMarkers	NATURAL KILLER NK CELL	4	4	NATURAL KILLER (NK) CELL	6	0.35555555555555557	0.2	0.175	0.35000000000000003	0.0	1.0	1.0	0.3333333333333333	0.16666666666666666	1.5	0.8
LLMarkers	INTERNEURON	4	4	INTERNEURON	6	0.2767857142857143	0.2361111111111111	0.18055555555555555	0.2767857142857143	0.0	1.0	1.0	0.5	0.0	2.1666666666666665	0.7638888888888888
LLMarkers	PLASMABLAST	4	4	PLASMABLAST	6	0.33888888888888896	0.25	0.16666666666666666	0.5333333333333333	0.0	1.0	1.0	0.5	0.0	1.8333333333333333	0.75
LLMarkers	CD 14 MONOCYTE	3	3	CD14+ MONOCYTE	3	0.23611111111111113	0.25	0.16666666666666666	0.3125	0.0	1.0	0.6666666666666666	0.6666666666666666	0.0	2.0	0.75
LLMarkers	PROXIMAL TUBULE	4	4	PROXIMAL TUBULE	6	0.3722222222222222	0.26666666666666666	0.2	0.3333333333333333	0.0	1.0	1.0	0.5	0.16666666666666666	2.1666666666666665	0.7333333333333334
LLMarkers	MONOCYTES	3	3	MONOCYTES	3	0.39444444444444443	0.3333333333333333	0.29166666666666663	0.4666666666666667	0.0	1.0	1.0	1.0	0.0	2.3333333333333335	0.6666666666666667
LLMarkers	ILC 3	4	4	ILC-3; ILC3	6	0.33363395863395867	0.3484848484848485	0.2708333333333333	0.41233766233766234	0.0	1.0	1.0	0.8333333333333334	0.0	2.8333333333333335	0.6515151515151515
LLMarkers	MELANOCYTE	7	7	MELANOCYTE	21	0.38888888888888895	0.4	0.14285714285714285	0.5	0.0	1.0	0.8095238095238095	0.5714285714285714	0.09523809523809523	2.1904761904761907	0.6
LLMarkers	MACRO CCL	3	3	MACRO-CCL	3	0.6190476190476191	0.42857142857142855	0.42857142857142855	0.7142857142857143	0.0	1.0	1.0	1.0	0.3333333333333333	3.0	0.5714285714285714
LLMarkers	ERYTHROCYTE	3	3	ERYTHROCYTE	3	0.6666666666666666	0.5	0.5	0.75	0.0	1.0	1.0	1.0	0.3333333333333333	2.3333333333333335	0.5
LLMarkers	OLIGODENDROCYTES	4	4	OLIGODENDROCYTES	6	0.5726190476190477	0.5857142857142856	0.46428571428571425	0.7125	0.0	1.0	1.0	1.0	0.0	3.1666666666666665	0.41428571428571437
