component	dominant_program	n_profiles_cluster	n_papers_cluster	n_labels_cluster	top_labels	core_marker_genes	gene_id	gene_name	marker_cluster_f1	marker_cluster_coverage	marker_cluster_purity	marker_cluster_gene_count	global_gene_count	best_label_f1	best_label_group	best_label_coverage	best_label_purity	best_label_n_profiles	marker_to_label_f1_ratio	log2_marker_to_label_f1_ratio	shift_class
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000163599	CTLA4	0.528735632183908	0.7419354838709677	0.4107142857142857	23	56	0.3380281690140845	TREG	0.8	0.21428571428571427	15	1.5641762452107277	0.6160381597327712	high in both
7	Cytotoxic	4	3	4	CD4.7 (1); CD8+GZMB (1); CD8+GZMK (1); EFFECTOR CD8+ T CELLS (1)	GZMA; GZMH; IFNG; CCL4; PRF1; CCL3; CCL5; EOMES	ENSG00000275302	CCL4	0.13559322033898305	1.0	0.07272727272727272	4	55	0.08571428571428572	CD 8 T CELL	0.2	0.05454545454545454	15	1.5819209039548023	0.5576088504806207	marker-cluster enriched
5	Other	9	8	4	T CELL (6); T CELL CLUSTER (1); T-CELL (1); CD4+ AND CD8+ T CELL (1)	CD8A; CD3E; CD4	ENSG00000153563	CD8A	0.38095238095238093	0.8888888888888888	0.24242424242424243	8	33	0.2535211267605634	T CELL	0.23684210526315788	0.2727272727272727	38	1.5026455026455026	0.5517786343731256	high in both
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000168685	IL7R	0.17475728155339806	0.28125	0.1267605633802817	9	71	0.11363636363636363	CD 4 T CELL	0.29411764705882354	0.07042253521126761	17	1.537864077669903	0.543364637229895	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000113088	GZMK	0.2352941176470588	0.42105263157894735	0.16326530612244897	8	49	0.15625	CD 8 T CELL	0.3333333333333333	0.10204081632653061	15	1.5058823529411762	0.5345370387953462	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000271503	CCL5	0.09677419354838708	0.15789473684210525	0.06976744186046512	3	43	0.06666666666666667	CD 4 T CELL	0.11764705882352941	0.046511627906976744	17	1.4516129032258063	0.43017235927639386	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000156234	CXCL13	0.07017543859649122	0.06451612903225806	0.07692307692307693	2	26	0.04878048780487805	CD 8 T CELL	0.06666666666666667	0.038461538461538464	15	1.43859649122807	0.39073518724842643	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000198846	TOX	0.0851063829787234	0.06451612903225806	0.125	2	16	0.06451612903225808	TREG	0.06666666666666667	0.0625	15	1.3191489361702124	0.31455168875646494	weak or similar
5	Other	9	8	4	T CELL (6); T CELL CLUSTER (1); T-CELL (1); CD4+ AND CD8+ T CELL (1)	CD8A; CD3E; CD4	ENSG00000010610	CD4	0.35897435897435903	0.7777777777777778	0.23333333333333334	7	30	0.2978723404255319	CD 4 T CELL	0.4117647058823529	0.23333333333333334	17	1.2051282051282053	0.2536527541723032	high in both
7	Cytotoxic	4	3	4	CD4.7 (1); CD8+GZMB (1); CD8+GZMK (1); EFFECTOR CD8+ T CELLS (1)	GZMA; GZMH; IFNG; CCL4; PRF1; CCL3; CCL5; EOMES	ENSG00000073861	TBX21	0.08695652173913043	0.25	0.05263157894736842	1	19	0.07017543859649122	T CELL	0.05263157894736842	0.10526315789473684	38	1.2391304347826086	0.2462180142530907	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000030419	IKZF2	0.09999999999999999	0.06451612903225806	0.2222222222222222	2	9	0.08333333333333334	TREG	0.06666666666666667	0.1111111111111111	15	1.1999999999999997	0.215728691055437	weak or similar
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000167286	CD3D	0.5660377358490566	1.0	0.39473684210526316	15	38	0.5	T CELL	0.5	0.5	38	1.1320754716981132	0.17248194168300984	high in both
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000182866	LCK	0.10526315789473685	0.06666666666666667	0.25	1	4	0.09523809523809525	T CELL	0.05263157894736842	0.5	38	1.1052631578947367	0.12034443536852368	weak or similar
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000198851	CD3E	0.46153846153846156	0.8	0.32432432432432434	12	37	0.4266666666666667	T CELL	0.42105263157894735	0.43243243243243246	38	1.0817307692307692	0.10845243905490998	high in both
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000004468	CD38	0.030303030303030307	0.03225806451612903	0.02857142857142857	1	35	0.027397260273972605	T CELL	0.02631578947368421	0.02857142857142857	38	1.1060606060606062	0.0858416432317641	weak or similar
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000198821	CD247	0.08333333333333334	0.06666666666666667	0.1111111111111111	1	9	0.0851063829787234	T CELL	0.05263157894736842	0.2222222222222222	38	0.9791666666666669	-0.02454457024132108	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000134460	IL2RA	0.2686567164179105	0.2903225806451613	0.25	9	36	0.27450980392156865	TREG	0.4666666666666667	0.19444444444444445	15	0.978678038379531	-0.028960866523707336	high in both
5	Other	9	8	4	T CELL (6); T CELL CLUSTER (1); T-CELL (1); CD4+ AND CD8+ T CELL (1)	CD8A; CD3E; CD4	ENSG00000116824	CD2	0.2608695652173913	0.3333333333333333	0.21428571428571427	3	14	0.2692307692307692	T CELL	0.18421052631578946	0.5	38	0.968944099378882	-0.04232073489963311	high in both
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000049768	FOXP3	0.4375	0.45161290322580644	0.42424242424242425	14	33	0.45833333333333326	TREG	0.7333333333333333	0.3333333333333333	15	0.9545454545454547	-0.06424458767048896	high in both
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000204381	LAYN	0.16216216216216214	0.0967741935483871	0.5	3	6	0.19047619047619044	TREG	0.13333333333333333	0.3333333333333333	15	0.8513513513513514	-0.2084337210597625	weak or similar
7	Cytotoxic	4	3	4	CD4.7 (1); CD8+GZMB (1); CD8+GZMK (1); EFFECTOR CD8+ T CELLS (1)	GZMA; GZMH; IFNG; CCL4; PRF1; CCL3; CCL5; EOMES	ENSG00000163508	EOMES	0.08888888888888888	0.5	0.04878048780487805	2	41	0.10714285714285712	CD 8 T CELL	0.2	0.07317073170731707	15	0.8296296296296297	-0.22359366623589746	weak or similar
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000139193	CD27	0.05333333333333333	0.0625	0.046511627906976744	2	43	0.06896551724137931	CD 8 T CELL	0.13333333333333333	0.046511627906976744	15	0.7733333333333333	-0.27877714237954093	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000143365	RORC	0.03571428571428571	0.03225806451612903	0.04	1	25	0.05	TREG	0.06666666666666667	0.04	15	0.7142857142857142	-0.32930762525295987	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000163600	ICOS	0.15384615384615383	0.12903225806451613	0.19047619047619047	4	21	0.2222222222222222	TREG	0.26666666666666666	0.19047619047619047	15	0.6923076923076923	-0.47852007906051847	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000186891	TNFRSF18	0.12244897959183673	0.0967741935483871	0.16666666666666666	3	18	0.1818181818181818	TREG	0.2	0.16666666666666666	15	0.6734693877551021	-0.5026108656183647	weak or similar
