source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
hca	0476_10.1126_science.abl4896_6d8fed9731	hca:0476_10.1126_science.abl4896_6d8fed9731	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1.0	0.37190458044352764	2.6888617472993084	0.006100217864923747	0.002255389718076285	2.704728950403691
biorxiv	3912ca11-6e98-1014-9c67-9a3ee3e3b07f	biorxiv:3912ca11-6e98-1014-9c67-9a3ee3e3b07f	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	0.8571428571428571	0.32192920079028303	2.662519756016891	0.1023166023166023	0.006012793176972281	17.01648456967606
hca	0359_10.1101_759902_400af2c5fc	hca:0359_10.1101_759902_400af2c5fc	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	4	2	12	10	1.0	0.3808552616295021	2.6268251858641434	0.028153153153153157	0.003877850811672145	7.416061140325846
hca	0415_10.1038_s41467-020-20358-y_582bbd075a	hca:0415_10.1038_s41467-020-20358-y_582bbd075a	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1.0	0.3814312740657119	2.621704270184523	0.03355704697986577	0.004776119402985075	7.026006711409396
hca	0315_10.1158_2159-8290.cd-21-0683_4c7216e47a	hca:0315_10.1158_2159-8290.cd-21-0683_4c7216e47a	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	5	3	12	9	0.5	0.19224602304755845	2.6008340358557556	0.03804347826086957	0.002390914524805738	15.911684782608699
hca	0231_10.1101_2023.08.08.551504_0d646c9546	hca:0231_10.1101_2023.08.08.551504_0d646c9546	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.8333333333333333	0.41771594162813863	2.5935240460126625	0.036885245901639344	0.005673335323977307	7.053335610200364
hca	0358_10.1126_sciadv.aba1983_17b603cdcb	hca:0358_10.1126_sciadv.aba1983_17b603cdcb	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	5	3	12	9	1.0	0.37292905903611473	2.5711407055811297	0.02702702702702703	0.0033871289101414623	6.183414183414183
biorxiv	9c7f8281-6c21-1014-a6df-b6c543b29cb8	biorxiv:9c7f8281-6c21-1014-a6df-b6c543b29cb8	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	3	2	12	10	0.75	0.28416194302708553	2.567820704127655	0.03159340659340659	0.0038082437275985667	7.97367467697138
hca	0438_10.1016_j.celrep.2023.112086_4947038a16	hca:0438_10.1016_j.celrep.2023.112086_4947038a16	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	6	3	12	9	0.375	0.1418199961737947	2.52877711314938	0.003355704697986577	0.0014200298953662184	2.3631225715294946
biorxiv	0a537c3c-6dba-1014-a3da-a09fc644eb0b	biorxiv:0a537c3c-6dba-1014-a3da-a09fc644eb0b	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	0.4	0.15821132182569672	2.528264067224498	0.0031372549019607846	0.000716417910447761	4.379084967320263
hca	0326_10.1016_j.cmet.2016.08.020_b710322bb3	hca:0326_10.1016_j.cmet.2016.08.020_b710322bb3	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	10	4	12	8	1.0	0.3964356819762931	2.5224772780665092	0.16216216216216217	0.0077072732714756065	21.040146943059565
biorxiv	dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	6	3	12	9	0.25	0.04601091411889328	2.477465574193264	0.0024752475247524753	0.0007972097658196313	4.139851485148514
biorxiv	54c905c7-6e9f-1014-9168-935cc2dc841b	biorxiv:54c905c7-6e9f-1014-9168-935cc2dc841b	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	1.0	0.40523691776844534	2.467692246567243	0.01485148514851485	0.0026873693639892504	5.526402640264027
hca	0175_10.1038_s41587-020-00796-1_81545d4d48	hca:0175_10.1038_s41587-020-00796-1_81545d4d48	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	3	2	12	10	1.0	0.40734083608058475	2.454946598583032	0.012195121951219513	0.005525686977299881	2.206987475280158
hca	0102_10.1038_s41586-019-0992-y_40614812e9	hca:0102_10.1038_s41586-019-0992-y_40614812e9	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	0.7142857142857143	0.2915265853397102	2.450156350074801	0.0197444831591173	0.003416613282084134	5.778963414634145
biorxiv	9b741001-784a-1014-b0c0-93f88f9233f4	biorxiv:9b741001-784a-1014-b0c0-93f88f9233f4	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	3	2	12	10	0.6666666666666666	0.2728874861835741	2.44300930024396	0.0044742729306487695	0.002190362405416169	2.0427089688834656
