profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
5	7	1333	2113	DENDRITIC CELL	PLASMACYTOID DENDRITIC CELL	CL:2000001	CL:0000786	peripheral blood mononuclear cell	plasma cell	0.0	0.16666666666666666	CL:0000842	5	0.75	False
5	8	1333	2259	DENDRITIC CELL	ALVEOLAR MAC	CL:2000001	CL:0000235	peripheral blood mononuclear cell	macrophage	0.0	0.25	CL:0000842	3	0.0	False
5	9	1333	2263	DENDRITIC CELL	NK CELL	CL:2000001	CL:0000623	peripheral blood mononuclear cell	natural killer cell	0.0	0.16666666666666666	CL:0000842	5	0.0	False
5	10	1333	2449	DENDRITIC CELL	ACTIVATED MEMORY CELL	CL:2000001	CL:0000910	peripheral blood mononuclear cell	cytotoxic T cell	0.0	0.14285714285714285	CL:0000842	6	0.0	False
5	11	1333	2737	DENDRITIC CELL	NEUTROPHIL	CL:2000001	CL:0001064	peripheral blood mononuclear cell	malignant cell	0.0	0.0	CL:0000000	6	0.0	False
5	12	1333	3111	DENDRITIC CELL	MONOCYTE	CL:2000001	CL:0002057	peripheral blood mononuclear cell	CD14-positive, CD16-negative classical monocyte	0.0	0.16666666666666666	CL:0000842	5	0.0	False
5	13	1333	3291	DENDRITIC CELL	MONOCYTE	CL:2000001	CL:0002057	peripheral blood mononuclear cell	CD14-positive, CD16-negative classical monocyte	0.0	0.16666666666666666	CL:0000842	5	0.0	False
5	14	1333	3472	DENDRITIC CELL	CD4.9	CL:2000001	CL:0011025	peripheral blood mononuclear cell	exhausted T cell	0.0	0.14285714285714285	CL:0000842	6	0.0	False
5	15	1333	3509	DENDRITIC CELL	CXCL9-POSITIVE	CL:2000001	CL:0000235	peripheral blood mononuclear cell	macrophage	0.0	0.25	CL:0000842	3	0.0	False
5	16	1333	3819	DENDRITIC CELL	CD8T_GZMB	CL:2000001	CL:0000910	peripheral blood mononuclear cell	cytotoxic T cell	0.0	0.14285714285714285	CL:0000842	6	0.0	False
5	17	1333	3856	DENDRITIC CELL	DCS	CL:2000001	CL:0000841	peripheral blood mononuclear cell	mature conventional dendritic cell	0.0	0.2	CL:0000738	4	0.0	False
6	7	1829	2113	EXHAUSTED CD8 T CELL	PLASMACYTOID DENDRITIC CELL	CL:0011025	CL:0000786	exhausted T cell	plasma cell	0.0	0.125	CL:0000542	7	0.0	False
6	8	1829	2259	EXHAUSTED CD8 T CELL	ALVEOLAR MAC	CL:0011025	CL:0000235	exhausted T cell	macrophage	0.0	0.125	CL:0000842	7	0.0	False
6	9	1829	2263	EXHAUSTED CD8 T CELL	NK CELL	CL:0011025	CL:0000623	exhausted T cell	natural killer cell	0.0	0.125	CL:0000542	7	0.0	False
6	10	1829	2449	EXHAUSTED CD8 T CELL	ACTIVATED MEMORY CELL	CL:0011025	CL:0000910	exhausted T cell	cytotoxic T cell	0.0	0.3333333333333333	CL:0000911	2	0.0	False
6	11	1829	2737	EXHAUSTED CD8 T CELL	NEUTROPHIL	CL:0011025	CL:0001064	exhausted T cell	malignant cell	0.0	0.0	CL:0000000	11	0.0	False
6	12	1829	3111	EXHAUSTED CD8 T CELL	MONOCYTE	CL:0011025	CL:0002057	exhausted T cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1	CL:0000842	9	0.0	False
6	13	1829	3291	EXHAUSTED CD8 T CELL	MONOCYTE	CL:0011025	CL:0002057	exhausted T cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1	CL:0000842	9	0.0	False
