label_token	display_label_token	n_profiles_with_token	n_papers_with_token	n_cross_paper_pairs_with_token	marker_linked_fraction	background_marker_linked_fraction	marker_linked_lift	mean_marker_jaccard	background_mean_marker_jaccard	mean_marker_jaccard_lift
endothelial	endothelial	66	52	2126	0.27892756349952963	0.020020112654446982	13.932367330489154	0.050485724701587104	0.0026539779524491726	19.02266168224846
cdc	cdc	32	20	478	0.2719665271966527	0.020020112654446982	13.584665176009484	0.06137831918812717	0.0026539779524491726	23.126913745265053
smcs	smcs	9	6	30	0.26666666666666666	0.020020112654446982	13.31993836745135	0.058267195767195766	0.0026539779524491726	21.954664586955218
CD8	CD8	80	50	3113	0.26566013491808543	0.020020112654446982	13.269662339241407	0.04742924624772344	0.0026539779524491726	17.871002358536654
tam	tam	14	7	79	0.25316455696202533	0.020020112654446982	12.64551110833989	0.03744223427767731	0.0026539779524491726	14.107967341297792
reg	reg	10	5	36	0.25	0.020020112654446982	12.487442219485642	0.0436197290363957	0.0026539779524491726	16.435603391558725
te	te	7	6	20	0.25	0.020020112654446982	12.487442219485642	0.05216727716727717	0.0026539779524491726	19.656258681100045
ilc	ilc	36	12	489	0.2474437627811861	0.020020112654446982	12.359758761208692	0.04376237556111114	0.0026539779524491726	16.48935158663465
monocytes	monocytes	13	6	67	0.23880597014925373	0.020020112654446982	11.928303015628074	0.05677158516907142	0.0026539779524491726	21.39112916016535
glia	glia	14	10	85	0.23529411764705882	0.020020112654446982	11.752886794810015	0.04060131045425163	0.0026539779524491726	15.298284756579644
mac	mac	18	14	148	0.22972972972972974	0.020020112654446982	11.474946904392212	0.03813973769271356	0.0026539779524491726	14.370781662868389
fibroblast	fibroblast	77	55	2891	0.22414389484607403	0.020020112654446982	11.19593574296326	0.03760305354303669	0.0026539779524491726	14.168562895684733
monocyte	monocyte	48	42	1121	0.22033898305084745	0.020020112654446982	11.005881278190735	0.042948557043115544	0.0026539779524491726	16.1827105622642
neuronal	neuronal	8	8	28	0.21428571428571427	0.020020112654446982	10.703521902416263	0.04443027210884354	0.0026539779524491726	16.74101025136321
hsc	hsc	11	9	53	0.20754716981132076	0.020020112654446982	10.366933163346571	0.02445320895653859	0.0026539779524491726	9.213795063358539
activated	activated	22	13	211	0.2037914691943128	0.020020112654446982	10.179336785552277	0.03628767424069904	0.0026539779524491726	13.672937338161253
inflammatory	inflammatory	11	10	54	0.2037037037037037	0.020020112654446982	10.174952919580893	0.0359850540406096	0.0026539779524491726	13.5589122009855
gc	gc	13	10	74	0.20270270270270271	0.020020112654446982	10.124953150934305	0.02191539691539691	0.0026539779524491726	8.257565551806001
follicular	follicular	7	6	20	0.2	0.020020112654446982	9.989953775588514	0.0338095238095238	0.0026539779524491726	12.739187896539734
T_CELL	T CELL	157	110	12176	0.19998357424441524	0.020020112654446982	9.989133312893408	0.035026546519350193	0.0026539779524491726	13.197753390161594
resident	resident	9	9	36	0.19444444444444445	0.020020112654446982	9.712455059599943	0.036882716049382716	0.0026539779524491726	13.89714485583658
luminal	luminal	12	9	62	0.1935483870967742	0.020020112654446982	9.667697202182431	0.04199308755760369	0.0026539779524491726	15.822696461683556
photoreceptor	photoreceptor	8	6	26	0.19230769230769232	0.020020112654446982	9.605724784219724	0.025048562548562546	0.0026539779524491726	9.438120058777038
stem	stem	24	21	273	0.19047619047619047	0.020020112654446982	9.514241691036679	0.051587196351255804	0.0026539779524491726	19.437688358959257
CD4	CD4	73	50	2584	0.18885448916408668	0.020020112654446982	9.433238085308037	0.03528728842414842	0.0026539779524491726	13.295999083784483
alveolar	alveolar	11	9	53	0.18867924528301888	0.020020112654446982	9.424484693951428	0.042250914087762034	0.0026539779524491726	15.919843662895387
acinar	acinar	12	10	64	0.1875	0.020020112654446982	9.365581664614231	0.058186214826839826	0.0026539779524491726	21.92415154509622
macro	macro	11	6	49	0.1836734693877551	0.020020112654446982	9.174447344928227	0.07104867921194452	0.0026539779524491726	26.77063656326859
macrophages	macrophages	19	14	165	0.18181818181818182	0.020020112654446982	9.081776159625921	0.02128351437160894	0.0026539779524491726	8.019476707396104
stromal	stromal	16	13	116	0.1810344827586207	0.020020112654446982	9.042630572730982	0.025179071407519685	0.0026539779524491726	9.487294867797852
fibroblasts	fibroblasts	10	10	45	0.17777777777777778	0.020020112654446982	8.879958911634235	0.03507936507936507	0.0026539779524491726	13.217655047583479
at	at	20	15	184	0.17391304347826086	0.020020112654446982	8.686916326598707	0.034782804755630836	0.0026539779524491726	13.105913228680816
vascular	vascular	12	11	65	0.15384615384615385	0.020020112654446982	7.68457982737578	0.032032967032967034	0.0026539779524491726	12.069793949646803
macrophage	macrophage	83	59	3366	0.1527035056446821	0.020020112654446982	7.627504813803469	0.025862572896193523	0.0026539779524491726	9.744833363188546
neutrophil	neutrophil	10	6	35	0.14285714285714285	0.020020112654446982	7.135681268277509	0.02103174603174603	0.0026539779524491726	7.924612189162041
duct	duct	7	7	21	0.14285714285714285	0.020020112654446982	7.135681268277509	0.024963924963924966	0.0026539779524491726	9.406229219382734
cm	cm	8	5	22	0.13636363636363635	0.020020112654446982	6.81133211971944	0.04747474747474747	0.0026539779524491726	17.88814689697641
memory	memory	33	25	509	0.13359528487229863	0.020020112654446982	6.673053602554213	0.03238044951582088	0.0026539779524491726	12.200722875613643
dc	dc	25	18	291	0.12714776632302405	0.020020112654446982	6.3510015411817005	0.01750954886486256	0.0026539779524491726	6.5974733696277355
ec	ec	31	17	442	0.12669683257918551	0.020020112654446982	6.3284775048977	0.016036128046768818	0.0026539779524491726	6.042298893994272
mesenchymal	mesenchymal	13	10	74	0.12162162162162163	0.020020112654446982	6.074971890560582	0.02925782925782926	0.0026539779524491726	11.024141790940364
immune	immune	23	17	232	0.1206896551724138	0.020020112654446982	6.028420381820655	0.014966762165038032	0.0026539779524491726	5.63936944209587
tissue	tissue	9	7	34	0.11764705882352941	0.020020112654446982	5.876443397405008	0.028431372549019607	0.0026539779524491726	10.712738786236812
inhibitory	inhibitory	11	9	52	0.11538461538461539	0.020020112654446982	5.763434870531835	0.027609890109890105	0.0026539779524491726	10.403210050939139
exc	exc	11	3	32	0.09375	0.020020112654446982	4.6827908323071155	0.011174242424242423	0.0026539779524491726	4.210375001017054
dendritic	dendritic	13	13	78	0.08974358974358974	0.020020112654446982	4.482671565969205	0.019352869352869357	0.0026539779524491726	7.292023407734014
epithelial	epithelial	39	32	732	0.08743169398907104	0.020020112654446982	4.367192907361098	0.018185875395426352	0.0026539779524491726	6.8523083918778855
group	group	10	4	35	0.08571428571428572	0.020020112654446982	4.281408760966506	0.011337868480725623	0.0026539779524491726	4.27202813431916
neuron	neuron	31	20	433	0.07852193995381063	0.020020112654446982	3.922152752540525	0.012261568126224677	0.0026539779524491726	4.620071585338275
epi	epi	16	8	91	0.06593406593406594	0.020020112654446982	3.2933913545896196	0.011759349825551916	0.0026539779524491726	4.430839304712395
secretory	secretory	24	16	263	0.06463878326996197	0.020020112654446982	3.228692284886021	0.017463651684184	0.0026539779524491726	6.58017963866957
neurons	neurons	9	7	33	0.06060606060606061	0.020020112654446982	3.027258719875307	0.012121212121212121	0.0026539779524491726	4.567186441781211
distal	distal	11	8	51	0.058823529411764705	0.020020112654446982	2.938221698702504	0.012791783380018672	0.0026539779524491726	4.81985291860244
early	early	14	11	88	0.056818181818181816	0.020020112654446982	2.8380550498831	0.012058080808080808	0.0026539779524491726	4.543399012396934
pc	pc	11	11	55	0.05454545454545454	0.020020112654446982	2.724532847887776	0.020324675324675325	0.0026539779524491726	7.658192980058138
tumor	tumor	12	8	59	0.05084745762711865	0.020020112654446982	2.5398187565055546	0.0040572726265647495	0.0026539779524491726	1.528751443779167
fibro	fibro	10	7	41	0.04878048780487805	0.020020112654446982	2.4365740916069547	0.01951219512195122	0.0026539779524491726	7.35205622335512
