group	target	rank	nnz	nnz_frac	mean	log_fc	p_raw	p_corr
NK	ENSG00000122862	52.0	111.0	0.9652173913043478	1.577804087040266	0.5385431517424262	3.2961341127102635e-17	1.1105994279365962e-12
NK	ENSG00000180644	121.0	86.0	0.7478260869565218	0.9087789956661751	0.8457224860244887	5.699661154818367e-27	1.9204438295045005e-22
NK	ENSG00000168209	170.0	67.0	0.5826086956521739	0.6310066934519574	0.37411355325519896	2.0788885442996825e-09	7.00460706116335e-05
NK	ENSG00000111796	66.0	106.0	0.9217391304347826	1.441892839639925	0.9385523738276985	1.1018577569256614e-28	3.7125995261853234e-24
NK	ENSG00000150045	171.0	66.0	0.5739130434782609	0.627797683705934	0.6241307305418803	1.0582923372391096e-20	3.565810201093456e-16
NK	ENSG00000134539	88.0	102.0	0.8869565217391304	1.2858957288792388	1.2385419261011426	5.029401795811808e-41	1.6946066410808305e-36
NK	ENSG00000134545	166.0	56.0	0.48695652173913045	0.6618678348989545	0.6206017160692338	1.9460285887212507e-14	6.556948726837382e-10
NK	ENSG00000110934	262.0	54.0	0.46956521739130436	0.3971675721473612	0.3097256823377738	2.215176004853569e-11	7.463814030753615e-07
NK	ENSG00000133639	72.0	104.0	0.9043478260869565	1.3812038931561197	0.37564637611657004	5.445198722925258e-08	0.0018347052577024365
NK	ENSG00000211829	210.0	51.0	0.4434782608695652	0.4918633376055137	0.4651921167386821	1.4689586383505716e-13	4.949509236058416e-09
NK	ENSG00000100450	266.0	42.0	0.3652173913043478	0.3856876553202998	0.35858796538080057	6.901276288678537e-11	2.3253160327073463e-06
NK	ENSG00000100453	125.0	71.0	0.6173913043478261	0.8847769574210256	0.8648942800134214	7.411771481899393e-22	2.4973222831111815e-17
NK	ENSG00000168229	344.0	40.0	0.34782608695652173	0.3057115502057142	0.2720125012116401	1.6029225744530265e-09	5.400887322362027e-05
NK	ENSG00000140030	287.0	46.0	0.4	0.35533383888172543	0.2569482215930814	3.070017032843302e-08	0.0010344115390462222
NK	ENSG00000198668	139.0	82.0	0.7130434782608696	0.8161365828744929	0.39233237541306026	5.724892561100139e-10	1.9289452995370806e-05
NK	ENSG00000196405	199.0	64.0	0.5565217391304348	0.5257497777518064	0.2747198779620523	8.726741817124804e-08	0.0029403883878620315
NK	ENSG00000166710	1.0	115.0	1.0	3.496533527319262	0.2976634529075044	2.0222427685910597e-10	6.813744784490717e-06
NK	ENSG00000102879	134.0	85.0	0.7391304347826086	0.8444361811963339	0.4526487120679239	4.432823554175791e-13	1.493595568343991e-08
NK	ENSG00000108518	64.0	104.0	0.9043478260869565	1.4621639444274297	0.5802831471284895	1.8404517598872671e-16	6.201218159764158e-12
NK	ENSG00000271503	54.0	97.0	0.8434782608695652	1.5641110363372046	0.9532602284032436	4.493529449770978e-21	1.5140498128058334e-16
NK	ENSG00000275302	42.0	100.0	0.8695652173913043	1.6904666979008907	1.2982186471397688	1.929733967342494e-27	6.5020456295638e-23
NK	ENSG00000276070	205.0	45.0	0.391304347826087	0.5012036025886001	0.3392057565520208	5.50019142635461e-07	0.018532344991959222
NK	ENSG00000173762	110.0	92.0	0.8	1.014701588698342	0.8945586190975173	5.76747949841005e-30	1.9432945421942822e-25
NK	ENSG00000101608	95.0	102.0	0.8869565217391304	1.2355652273119713	0.4570657313864369	6.258700257046553e-13	2.108806464609266e-08
NK	ENSG00000077984	126.0	86.0	0.7478260869565218	0.8832052623188833	0.7203022313059546	1.6866735071265894e-23	5.68307771491233e-19
NK	ENSG00000197540	198.0	61.0	0.5304347826086957	0.5257635826552466	0.39748677649809855	3.693548583274697e-12	1.2445042596485765e-07
NK	ENSG00000007264	258.0	51.0	0.4434782608695652	0.4059280986473851	0.3679423080471312	3.707837797695293e-13	1.249318867555452e-08
NK	ENSG00000167664	618.0	26.0	0.22608695652173913	0.1880337157003543	0.18137679485992075	2.515617517816981e-07	0.008476121664532535
NK	ENSG00000142347	282.0	47.0	0.40869565217391307	0.3617553228102142	0.2515629807792634	6.804787415333857e-08	0.00229280507172259
NK	ENSG00000126264	122.0	84.0	0.7304347826086957	0.908078473305832	0.45204701055015345	5.546191996427712e-11	1.8687339312763531e-06
NK	ENSG00000011600	78.0	102.0	0.8869565217391304	1.3567949061238673	0.4911836766252512	1.1133138806930349e-11	3.751199789607112e-07
NK	ENSG00000105374	17.0	113.0	0.9826086956521739	2.0502324498008884	1.9237772351191822	2.9284947916229926e-71	9.867270350894511e-67
NK	ENSG00000128294	496.0	30.0	0.2608695652173913	0.22713305077599336	0.18386099815918333	1.409532296194723e-06	0.04749278118798499
NK	ENSG00000128340	214.0	57.0	0.4956521739130435	0.48453849854314235	0.3230276341886262	1.1379332715051994e-09	3.834152365009619e-05
NK	ENSG00000239713	459.0	34.0	0.2956521739130435	0.24037289458334496	0.18923190317178157	5.507957834518062e-07	0.01855851312762516
NK	ENSG00000075234	542.0	31.0	0.26956521739130435	0.2107735286148262	0.19828424461533067	2.1149631113910952e-08	0.0007126156707521156
NK	ENSG00000160255	184.0	66.0	0.5739130434782609	0.5783284920531212	0.35261924233579295	2.3856964653113593e-10	8.038365670220093e-06
Naive T	ENSG00000116251	98.0	433.0	0.8712273641851107	1.328285378358198	0.36342347069309044	3.4980873123457026e-22	1.178645539021761e-17
Naive T	ENSG00000142676	25.0	494.0	0.993963782696177	2.5846790303207876	0.75347142862687	8.5628343484793e-102	2.8851614053766156e-97
Naive T	ENSG00000117602	863.0	74.0	0.1488933601609658	0.12249486879653794	0.09910433382781088	5.285936470379218e-11	1.7810434343295737e-06
Naive T	ENSG00000157978	1354.0	49.0	0.09859154929577464	0.08020668114166306	0.06714708832252549	2.0256226638597394e-08	0.0006825133003609006
Naive T	ENSG00000169442	97.0	425.0	0.8551307847082495	1.3391133589632878	0.9030025613039016	7.396385824572736e-91	2.492138239731538e-86
Naive T	ENSG00000182866	345.0	146.0	0.2937625754527163	0.2638917911754306	0.17857997861604813	1.9532034036933025e-16	6.581123548404213e-12
Naive T	ENSG00000142937	29.0	490.0	0.9859154929577465	2.501167932160821	0.6776676257187659	6.681504734489729e-69	2.2512662052389692e-64
Naive T	ENSG00000162368	316.0	150.0	0.30181086519114686	0.28582899770273085	0.13659410372498906	4.188309408844454e-09	0.00014112089722160504
Naive T	ENSG00000122417	506.0	97.0	0.19517102615694165	0.19232049115404598	0.15143588775745398	6.952251331436518e-14	2.3424915636142207e-09
Naive T	ENSG00000122406	79.0	462.0	0.9295774647887324	1.6339012592712905	0.5552528806513772	6.174307050104745e-48	2.0803710174622927e-43
Naive T	ENSG00000162777	1061.0	56.0	0.11267605633802817	0.10036866950522334	0.06932329149474817	7.757898816558685e-07	0.026139464272512833
Naive T	ENSG00000116824	167.0	267.0	0.5372233400402414	0.6299695364267536	0.4629507324609302	1.720837087085985e-40	5.7981884812275176e-36
Naive T	ENSG00000265972	91.0	418.0	0.8410462776659959	1.4048597448225693	0.23414093225457266	3.41967209841776e-08	0.0011522243168408802
Naive T	ENSG00000159445	867.0	67.0	0.13480885311871227	0.12199984481429073	0.10065213941702025	3.4942243311285927e-11	1.177343946130468e-06
Naive T	ENSG00000196154	81.0	430.0	0.8651911468812877	1.602255032646178	0.5427640883887674	4.096816476021973e-29	1.3803813434308437e-24
Naive T	ENSG00000177954	4.0	495.0	0.9959758551307847	3.1908201476628584	1.0789064569713207	8.01741803686012e-165	2.701388833339649e-160
Naive T	ENSG00000163346	705.0	79.0	0.158953722334004	0.14560910305732083	0.10582245008197426	7.669203520351759e-10	2.5840614341473218e-05
Naive T	ENSG00000163479	252.0	188.0	0.3782696177062374	0.3586774252027875	0.12278383591059763	1.1124338179561542e-06	0.03748234506221466
Naive T	ENSG00000117091	281.0	161.0	0.323943661971831	0.32155904019281945	0.2147792394904789	1.1773162580060877e-18	3.966849399725712e-14
Naive T	ENSG00000215845	381.0	128.0	0.2575452716297787	0.24345657464275705	0.1260944109761117	1.1440052841369108e-08	0.0003854611404370907
Naive T	ENSG00000188404	811.0	69.0	0.13883299798792756	0.12989833887084792	0.09520392025932331	7.759577796567805e-09	0.0002614512142775556
Naive T	ENSG00000081237	153.0	307.0	0.6177062374245473	0.7332032428726777	0.3441286590460879	5.975015536345705e-22	2.0132217348163216e-17
Naive T	ENSG00000009790	376.0	129.0	0.2595573440643863	0.2456408660215421	0.165579930694601	1.2350039340231643e-14	4.1612222552976497e-10
Naive T	ENSG00000171863	68.0	475.0	0.9557344064386318	1.8691489914500725	0.6009524901408068	1.0579464310417079e-55	3.564644704751931e-51
Naive T	ENSG00000235576	977.0	57.0	0.11468812877263582	0.1082957840310243	0.08225119070354485	2.9301237810466573e-08	0.0009872759067858607
Naive T	ENSG00000115738	203.0	191.0	0.3843058350100604	0.4778645625126156	0.16407250346154917	1.181162098306561e-06	0.03979807574034127
Naive T	ENSG00000213626	987.0	64.0	0.12877263581488935	0.1076995431334167	0.07254978558865861	1.8306972506444107e-07	0.006168351316321277
Naive T	ENSG00000143924	580.0	93.0	0.18712273641851107	0.16922431086758072	0.11865250217608658	5.009929348604523e-11	1.688045594718808e-06
Naive T	ENSG00000152518	112.0	377.0	0.7585513078470825	1.098452337647759	0.5305978833664892	2.2722676607818543e-37	7.65617865623838e-33
Naive T	ENSG00000143947	15.0	492.0	0.9899396378269618	2.7421729031623054	0.7502470704214126	2.1138427297168117e-88	7.122381693507825e-84
Naive T	ENSG00000115977	603.0	88.0	0.17706237424547283	0.16414588475394762	0.09509305440572446	1.210211666554159e-07	0.004077687189287584
Naive T	ENSG00000186854	1960.0	34.0	0.06841046277665996	0.05593218233852428	0.049627754809148314	3.0072748672691267e-07	0.010132711937776595
Naive T	ENSG00000172005	1286.0	48.0	0.096579476861167	0.08420598378364776	0.08420598378364776	4.222562667289173e-12	1.422750265116414e-07
Naive T	ENSG00000071082	46.0	483.0	0.971830985915493	2.169315691997389	0.7100263300540883	5.846582268260139e-73	1.969947429467571e-68
Naive T	ENSG00000173272	571.0	95.0	0.19114688128772636	0.17248455767026724	0.08877991389916028	1.3649431461262353e-06	0.04599039436557737
Naive T	ENSG00000121966	99.0	420.0	0.8450704225352113	1.325339551226226	0.7716952196742356	2.4987217353316723e-68	8.419193015026536e-64
Naive T	ENSG00000075884	816.0	78.0	0.15694164989939638	0.1292891193346846	0.07864393030016756	2.5385768576419163e-07	0.008553480864138673
Naive T	ENSG00000115165	272.0	171.0	0.3440643863179074	0.33336392549353083	0.20282289587622762	1.5349056590656618e-16	5.171711127655841e-12
Naive T	ENSG00000114942	126.0	356.0	0.716297786720322	0.9204731247006006	0.3080765092626334	1.593038716834281e-17	5.367584652501426e-13
Naive T	ENSG00000197756	86.0	453.0	0.9114688128772636	1.5451062857754811	0.36630451129303676	5.5050009630350105e-22	1.8548550244850164e-17
Naive T	ENSG00000127824	527.0	99.0	0.19919517102615694	0.18528417358988492	0.1370491827318563	2.6480535194123503e-13	8.922351528307973e-09
Naive T	ENSG00000187514	61.0	483.0	0.971830985915493	1.9571191169548487	0.3568460580712931	6.2941888535651165e-24	2.1207639923202303e-19
Naive T	ENSG00000144713	14.0	494.0	0.993963782696177	2.7538763017482206	0.814391710813221	1.8521296004674146e-112	6.240565475814907e-108
