resource	label_basis	profile_idx	normalized_cell_type	cell_type	context_uid	comparison_context	n_local_markers	n_comparison_profiles	observed_global_recovery
LLMarkers	reported label	2994	MICROGLIA	MICROGLIA	hca|0439_10.1038_s41586-019-1404-z_d7516e129c	hca|0439_10.1038_s41586-019-1404-z_d7516e129c	12	17	0.4166666666666667
LLMarkers	reported label	2997	CELL	Α-CELL	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	5	15	0.6
LLMarkers	reported label	2998	CELL	Β-CELL	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	7	15	0.2857142857142857
LLMarkers	reported label	2999	CELL	Γ-CELL	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	5	15	0.2
LLMarkers	reported label	3000	CELL	Δ-CELL	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	hca|0440_10.1186_s13073-023-01179-2_de903e74e7	5	15	0.2
LLMarkers	reported label	3001	ASTROCYTES	ASTROCYTES	hca|0441_10.1038_s41593-020-0621-y_a3edefca60	hca|0441_10.1038_s41593-020-0621-y_a3edefca60	9	5	0.4444444444444444
LLMarkers	reported label	3013	FIBROBLASTS	FIBROBLASTS	hca|0442_10.1038_s41591-024-03011-9_e42f5ec07c	hca|0442_10.1038_s41591-024-03011-9_e42f5ec07c	4	5	0.0
LLMarkers	reported label	3016	T CELLS	T CELLS	hca|0442_10.1038_s41591-024-03011-9_e42f5ec07c	hca|0442_10.1038_s41591-024-03011-9_e42f5ec07c	8	4	0.0
LLMarkers	reported label	3017	ASTROCYTES	ASTROCYTES	hca|0448_10.1101_2022.02.15.480622_6cb3eae5b8	hca|0448_10.1101_2022.02.15.480622_6cb3eae5b8	4	5	0.75
LLMarkers	reported label	3018	MICROGLIA	MICROGLIA	hca|0448_10.1101_2022.02.15.480622_6cb3eae5b8	hca|0448_10.1101_2022.02.15.480622_6cb3eae5b8	3	17	0.6666666666666666
LLMarkers	reported label	3023	CDC 1	CDC1	hca|0449_10.1084_jem.20202345_e99c99a876	hca|0449_10.1084_jem.20202345_e99c99a876	2	10	0.5
LLMarkers	reported label	3040	FIBROBLAST	FIBROBLAST	hca|0453_10.1038_s41586-022-05060-x_14fb298894	hca|0453_10.1038_s41586-022-05060-x_14fb298894	4	28	0.25
LLMarkers	reported label	3041	MYELOID CELL	MYELOID CELL	hca|0453_10.1038_s41586-022-05060-x_14fb298894	hca|0453_10.1038_s41586-022-05060-x_14fb298894	3	9	0.0
LLMarkers	reported label	3061	MAC 2	MAC 2	hca|0457_10.1101_2024.02.02.578633_57d5a20898	hca|0457_10.1101_2024.02.02.578633_57d5a20898	5	4	0.8
LLMarkers	reported label	3067	MAC 2	MAC 2	hca|0458_10.1038_s41467-024-55325-4_d40c28a5ea	hca|0458_10.1038_s41467-024-55325-4_d40c28a5ea	5	4	0.2
LLMarkers	reported label	3068	MACROPHAGE	MACROPHAGE	hca|0460_10.1016_j.cell.2021.08.003_652ffcecb6	hca|0460_10.1016_j.cell.2021.08.003_652ffcecb6	3	28	0.3333333333333333
LLMarkers	reported label	3079	FB 2	FB2	hca|0463_10.7554_elife.81525_0f73520e7f	hca|0463_10.7554_elife.81525_0f73520e7f	3	4	0.0
LLMarkers	reported label	3087	B CELL	B CELL	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	3	29	0.6666666666666666
LLMarkers	reported label	3091	ENTEROCYTE	ENTEROCYTE	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	3	5	0.3333333333333333
LLMarkers	reported label	3092	ENTEROENDOCRINE CELL	ENTEROENDOCRINE CELL	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	2	6	0.5
LLMarkers	reported label	3094	FIBROBLAST	FIBROBLAST	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941	1	28	1.0
