local_label	global_label	context	replicate	recovery_top100
mature LAMs	Macrophages	local	36	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	36	1.0
ResKCs	Macrophages	local	36	0.4
Mono	Mono+mono derived cells	local	36	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	36	0.6666666666666666
cDC1s	cDC1s	local	36	0.8
cDC2s	cDC2s	local	36	0.5
Mig cDCs	Mig.cDCs	local	36	0.7
Mac1	Macrophages	local	37	0.875
immature LAMs	Macrophages	local	37	0.8
mature LAMs	Macrophages	local	37	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	37	1.0
ResKCs	Macrophages	local	37	0.4
Mono	Mono+mono derived cells	local	37	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	37	0.6666666666666666
cDC1s	cDC1s	local	37	0.8
cDC2s	cDC2s	local	37	0.5
Mig cDCs	Mig.cDCs	local	37	0.6
Mac1	Macrophages	local	38	0.875
immature LAMs	Macrophages	local	38	0.8
mature LAMs	Macrophages	local	38	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	38	1.0
ResKCs	Macrophages	local	38	0.4
Mono	Mono+mono derived cells	local	38	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	38	0.6666666666666666
cDC1s	cDC1s	local	38	0.8
cDC2s	cDC2s	local	38	0.5
Mig cDCs	Mig.cDCs	local	38	0.6
Mac1	Macrophages	local	39	0.875
immature LAMs	Macrophages	local	39	0.8
mature LAMs	Macrophages	local	39	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	39	1.0
ResKCs	Macrophages	local	39	0.4
Mono	Mono+mono derived cells	local	39	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	39	0.6666666666666666
cDC1s	cDC1s	local	39	0.8
cDC2s	cDC2s	local	39	0.5
Mig cDCs	Mig.cDCs	local	39	0.7
Mac1	Macrophages	local	40	0.875
immature LAMs	Macrophages	local	40	0.8
mature LAMs	Macrophages	local	40	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	40	1.0
ResKCs	Macrophages	local	40	0.3
Mono	Mono+mono derived cells	local	40	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	40	0.7777777777777778
cDC1s	cDC1s	local	40	0.8
cDC2s	cDC2s	local	40	0.5
Mig cDCs	Mig.cDCs	local	40	0.7
Mac1	Macrophages	local	41	0.875
immature LAMs	Macrophages	local	41	0.8
mature LAMs	Macrophages	local	41	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	41	1.0
ResKCs	Macrophages	local	41	0.4
Mono	Mono+mono derived cells	local	41	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	41	0.6666666666666666
cDC1s	cDC1s	local	41	0.8
cDC2s	cDC2s	local	41	0.5
Mig cDCs	Mig.cDCs	local	41	0.7
Mac1	Macrophages	local	42	0.875
immature LAMs	Macrophages	local	42	0.8
mature LAMs	Macrophages	local	42	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	42	0.875
ResKCs	Macrophages	local	42	0.3
Mono	Mono+mono derived cells	local	42	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	42	0.6666666666666666
cDC1s	cDC1s	local	42	0.8
cDC2s	cDC2s	local	42	0.5
Mig cDCs	Mig.cDCs	local	42	0.8
Mac1	Macrophages	local	43	0.875
immature LAMs	Macrophages	local	43	0.8
mature LAMs	Macrophages	local	43	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	43	1.0
ResKCs	Macrophages	local	43	0.3
Mono	Mono+mono derived cells	local	43	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	43	0.6666666666666666
cDC1s	cDC1s	local	43	0.8
cDC2s	cDC2s	local	43	0.5
Mig cDCs	Mig.cDCs	local	43	0.7
Mac1	Macrophages	local	44	0.875
immature LAMs	Macrophages	local	44	0.8
mature LAMs	Macrophages	local	44	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	44	1.0
ResKCs	Macrophages	local	44	0.4
Mono	Mono+mono derived cells	local	44	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	44	0.6666666666666666
cDC1s	cDC1s	local	44	0.8
cDC2s	cDC2s	local	44	0.5
Mig cDCs	Mig.cDCs	local	44	0.8
Mac1	Macrophages	local	45	0.875
immature LAMs	Macrophages	local	45	0.8
mature LAMs	Macrophages	local	45	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	45	1.0
ResKCs	Macrophages	local	45	0.4
Mono	Mono+mono derived cells	local	45	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	45	0.6666666666666666
cDC1s	cDC1s	local	45	0.8
cDC2s	cDC2s	local	45	0.5
Mig cDCs	Mig.cDCs	local	45	0.7
Mac1	Macrophages	local	46	0.875
immature LAMs	Macrophages	local	46	0.8
mature LAMs	Macrophages	local	46	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	46	1.0
ResKCs	Macrophages	local	46	0.4
Mono	Mono+mono derived cells	local	46	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	46	0.6666666666666666
cDC1s	cDC1s	local	46	0.8
cDC2s	cDC2s	local	46	0.5
Mig cDCs	Mig.cDCs	local	46	0.7
Mac1	Macrophages	local	47	0.875
immature LAMs	Macrophages	local	47	0.8
mature LAMs	Macrophages	local	47	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	47	1.0
ResKCs	Macrophages	local	47	0.4
Mono	Mono+mono derived cells	local	47	0.8888888888888888
