local_label	global_label	context	rank	feature_id	feature_name	score	log2fc	pct_in	pct_out
mature LAMs	Macrophages	local	25	ENSG00000160213	CSTB	21.443697053283955	0.6249822380871634	0.935969868173258	0.747927525440556
mature LAMs	Macrophages	local	26	ENSG00000136235	GPNMB	20.963942261372225	3.205715418363979	0.5781544256120528	0.07624720774385704
mature LAMs	Macrophages	local	27	ENSG00000169508	GPR183	20.804406449580032	1.2049228776191399	0.7947269303201506	0.3931000248200546
mature LAMs	Macrophages	local	28	ENSG00000159189	C1QC	20.75586595744721	1.5834925823819634	0.696798493408663	0.2576073467361628
mature LAMs	Macrophages	local	29	ENSG00000100600	LGMN	20.328716533697005	2.1695186601941074	0.6459510357815442	0.17247455944403078
mature LAMs	Macrophages	local	30	ENSG00000175899	A2M	20.060415199335587	2.5798488250127547	0.5875706214689266	0.10833953834698436
mature LAMs	Macrophages	local	31	ENSG00000101439	CST3	19.983182409706437	0.20513966133936423	0.9962335216572504	0.9597418714321172
mature LAMs	Macrophages	local	32	ENSG00000164687	FABP5	19.894997283276673	2.0570632943472953	0.6610169491525424	0.2394390667659469
mature LAMs	Macrophages	local	33	ENSG00000153071	DAB2	19.48977645289664	1.9633337733711465	0.6271186440677966	0.1735914619012162
mature LAMs	Macrophages	local	34	ENSG00000123416	TUBA1B	19.462218696736265	0.736599095244289	0.8813559322033898	0.6373045420699925
mature LAMs	Macrophages	local	35	ENSG00000242574	HLA-DMB	19.443754948543873	0.758864401144661	0.8625235404896422	0.5936708860759494
mature LAMs	Macrophages	local	36	ENSG00000130208	APOC1	18.920975686044486	2.188368408551265	0.6195856873822976	0.1707619756763465
mature LAMs	Macrophages	local	37	ENSG00000095970	TREM2	18.553845835227737	4.147476933410256	0.4745762711864407	0.03283693224125093
mature LAMs	Macrophages	local	38	ENSG00000110077	MS4A6A	17.944535707974346	0.45559716620948676	0.9491525423728814	0.7500372300819061
mature LAMs	Macrophages	local	39	ENSG00000166598	HSP90B1	17.088497786121028	0.9049668765688575	0.7871939736346516	0.47105981633159594
mature LAMs	Macrophages	local	40	ENSG00000110079	MS4A4A	17.052668526885217	1.121566449139395	0.736346516007533	0.37232563911640604
mature LAMs	Macrophages	local	41	ENSG00000135678	CPM	16.261464908540155	1.1568951994712757	0.696798493408663	0.3395135269297592
mature LAMs	Macrophages	local	42	ENSG00000140749	IGSF6	16.232879557902127	0.9414029858702839	0.7589453860640302	0.4780590717299578
mature LAMs	Macrophages	local	43	ENSG00000038945	MSR1	16.173010376028948	1.6316342501012346	0.5856873822975518	0.2001241002730206
mature LAMs	Macrophages	local	44	ENSG00000143162	CREG1	16.160029144607897	1.0284986008136912	0.71939736346516	0.3730950608091338
mature LAMs	Macrophages	local	45	ENSG00000104763	ASAH1	15.923717199071957	0.5158369855396805	0.903954802259887	0.7255150161330355
mature LAMs	Macrophages	local	46	ENSG00000167601	AXL	15.918168954289808	1.5196147046712603	0.5875706214689266	0.1843385455448002
mature LAMs	Macrophages	local	47	ENSG00000155719	OTOA	15.442312556207211	3.475396627133671	0.3973634651600753	0.03864482501861504
mature LAMs	Macrophages	local	48	ENSG00000179218	CALR	15.391474321174206	0.9714969349607511	0.7288135593220338	0.4351700173740382
mature LAMs	Macrophages	local	49	ENSG00000161921	CXCL16	15.363446776660401	0.7470307085206516	0.7947269303201506	0.5102506825515016
mature LAMs	Macrophages	local	50	ENSG00000146070	PLA2G7	15.321626857339751	2.2649018859672645	0.4651600753295669	0.11260858773889303
mature LAMs	Macrophages	local	51	ENSG00000155368	DBI	15.308267612235248	0.5797598875692146	0.8757062146892656	0.6746339041945892
mature LAMs	Macrophages	local	52	ENSG00000197746	PSAP	15.19069698977058	0.2081690197560098	0.9943502824858758	0.9665922065028543
mature LAMs	Macrophages	local	53	ENSG00000130203	APOE	15.074592870579506	1.6574968508422059	0.5743879472693032	0.2008687019111442
mature LAMs	Macrophages	local	54	ENSG00000214063	TSPAN4	15.047812368097402	1.3733487691661785	0.5856873822975518	0.2263837180441797
mature LAMs	Macrophages	local	55	ENSG00000051108	HERPUD1	14.946738041689656	0.6518793879308075	0.8267419962335216	0.6234301315462895
mature LAMs	Macrophages	local	56	ENSG00000135047	CTSL	14.940471348693755	1.3381263946945081	0.64030131826742	0.27726482998262597
mature LAMs	Macrophages	local	57	ENSG00000089220	PEBP1	14.78543209889512	1.0431422933748404	0.6591337099811676	0.33579051873914123
mature LAMs	Macrophages	local	58	ENSG00000109861	CTSC	14.733038251156538	0.7345080518678003	0.7947269303201506	0.5210722263588979
mature LAMs	Macrophages	local	59	ENSG00000085662	AKR1B1	14.722786255932867	1.3163343872891125	0.5932203389830508	0.24896996773392902
mature LAMs	Macrophages	local	60	ENSG00000137491	SLCO2B1	14.67476844429273	1.9789828833517351	0.4726930320150659	0.11496649292628444
mature LAMs	Macrophages	local	61	ENSG00000159335	PTMS	14.505542307245708	1.658204727894256	0.5065913370998116	0.17262347977165549
mature LAMs	Macrophages	local	62	ENSG00000065978	YBX1	14.38475897517492	0.22736829020335825	0.9736346516007532	0.9375031025068256
mature LAMs	Macrophages	local	63	ENSG00000171659	GPR34	14.38427165913282	1.5761980400988314	0.527306967984934	0.18170761975676347
mature LAMs	Macrophages	local	64	ENSG00000128524	ATP6V1F	14.29091835163615	0.5361406359062163	0.8568738229755178	0.6689997517994539
mature LAMs	Macrophages	local	65	ENSG00000102760	RGCC	14.289737499147478	1.5336572959747117	0.536723163841808	0.20280466617026557
